"id","character","source","translatedstr"
"Limited_0001_A_00_00_001(0)","小鳥の声","（これは、
みんなからプロデューサ－さんへの贈り物……）","(This is a gift from everyone to the producer......)"
"Limited_0001_A_00_00_002(0)","小鳥の声","（それは、とある日のこと……）","(This is what happened on that day.)"
"Limited_0001_A_00_00_003(0)","","Present from Luminous","Present from Luminous"
"Limited_0001_A_00_00_004(0)","春香","おはようございまーす！
えへへ、こういうのってなんだか緊張するね","Good morning! 
Ehe, I'm kind of nervous about this."
"Limited_0001_A_00_00_005(0)","果穂","はい、ドキドキしますっ！","Yes, I'm thrilled!"
"Limited_0001_A_00_00_006(0)","美嘉","お疲れさまです、音無さん。
今日はカメラマン役、よろしくお願いします★","Thank you so much for being our 
cameraman for the day Otonashi-san★"
"Limited_0001_A_00_00_007(0)","小鳥","ええ、任せて！
バッチリ、記録しておくわね！","Yeah, leave it to me! I'll 
record everything perfectly!"
"Limited_0001_A_00_00_008(0)","小鳥の声","（実はこの日、とある目的のために
みんながスケジュールを調整して集まりました）","(Actually, everyone adjusted their schedules 
to gather on this day for a certain purpose.)"
"Limited_0001_A_00_00_009(0)","律子","それじゃ、そろそろ本題に入りましょう","Well then, let's get down to business."
"Limited_0001_A_00_00_010(0)","甘奈","うん！　いつも頑張ってくれてる
プロデューサーさんのお誕生会についてだよね！","Yeah! It's about the producer-san birthday party
right? She's always working so hard."
"Limited_0001_A_00_00_011(0)","咲耶","スターリットシーズンが終わって、
このような機会でみんなと会えて嬉しいよ","Now that the Starlit Season is over.
I'm glad to have this opportunity to meet you all."
"Limited_0001_A_00_00_012(0)","美嘉","去年は、できなかったからね。
今年こそは、って思ってたんだよね★","Last year, I couldn't do it.
I was hoping this would be the year★"
"Limited_0001_A_00_00_013(0)","伊織","にひひっ♪　まさか私たちが、こんなこと
考えてるなんて、夢にも思ってないはずよ","Hehehe♪ She must never thought that 
we would even consider this kind of thing."
"Limited_0001_A_00_00_014(0)","きらり","Ｐちゃんにはナイショで、
ハピハピサプライズバースデーパーティー☆","Nobody tell P-chan. This is a 
""happy happy surprise birthday party★"""
"Limited_0001_A_00_00_015(0)","未来","サプライズパーティー！
すっごくいいと思います！","Surprise party!
I think it's really nice!"
"Limited_0001_A_00_00_016(0)","心白","でも、どんなことをしたらいいのか……。
お祝いしたい気持ちばかり先立ってしまって……","But what should we do...?
How are we going to celebrate...?"
"Limited_0001_A_00_00_017(0)","春香","そうだね。お祝いの気持ちと、日頃の感謝も込めた、
特別なプレゼントを用意するのはどうかな","We should prepare something special. I know!
How about a gift to express our gratitude?
"
"Limited_0001_A_00_00_018(0)","静香","とてもいいと思います。でも、プロデューサーが
喜ぶものって、なんでしょうか…？","I think it's a good idea. But what would
make producer-san happy?"
"Limited_0001_A_00_00_019(0)","紬","あの方はなにを差し上げても、
喜んでくれそうなので……難しい問題です","I feel that he will be happy no matter
what he receives... This is pretty tough."
"Limited_0001_A_00_00_020(0)","美希","でもミキ、プロデューサーのそういう優しいところ、
すっごく素敵だって思うな♪","Miki thinks that's how kind Producer is.
I think it's really nice♪"
"Limited_0001_A_00_00_021(0)","亜美","じゃあ！　みんなでお菓子を持ってきて、
超絶オススメスイーツぱーちーってのは？","Okay, then! What if we bring a lot
of delicious sweets to the party?"
"Limited_0001_A_00_00_022(0)","真美","その中から、兄ちゃんの１番のお気に入り
スイーツはどれでショー☆　的な？","I wonder what kind of top no.1 sweets 
nii-chan likes☆?"
"Limited_0001_A_00_00_023(0)","杏","お、けっこういい案じゃない？
ひとりずつからのプレゼントってことにもなるし","Oh, that's a pretty good idea, isn't it?
It would be a gift from each of us."
"Limited_0001_A_00_00_024(0)","雪歩","お菓子かぁ……。いい案だって思うけど、
みんなが持ってきちゃうと、たくさんになっちゃうね","I think it's a good idea... But
what if everyone bring too much?
"
"Limited_0001_A_00_00_025(0)","歌織","そうね……喜んでもらえると思うけど、
もらう方は量が多いと大変ね","I'm sure he'll love it but it is going 
to be a lot."
"Limited_0001_A_00_00_026(0)","千早","確かにそうですね……","That's for sure......"
"Limited_0001_A_00_00_027(0)","翼","やっぱり、プロデューサーさんが、とびっきりの
笑顔になってくれないとですよね～♪","After all, the producer is the best.
You have to smile~ ♪"
"Limited_0001_A_00_00_028(0)","美希","お菓子をプレゼントするのはいいアイディアかも？
ミキもお菓子もらったら嬉しいし♪","Maybe giving sweets as a gift is a good idea?
Miki would be happy to receive sweets."
"Limited_0001_A_00_00_029(0)","貴音","プロデューサーにご満足して頂けるお菓子……。
これは難題ですね","Sweets that will satisfy the producer...
This is a difficult task."
"Limited_0001_A_00_00_030(0)","菜々","うーん。迷っちゃいますね……あっ、音無さん！
なにかプロデューサーさんの情報を知りませんか！？","Hmm, I'm confused... Oh, Otonashi-san!
Do you know anything about Producer-san?"
"Limited_0001_A_00_00_031(0)","小鳥","うーん、プロデューサーさんが好きなお菓子ねぇ。
どのお菓子も、いつもおいしそうに食べてるけど……","Hmm, the sweets that producer-san likes.
All of the sweets always look so good to eat..."
"Limited_0001_A_00_00_032(0)","小鳥","……せっかくだし、みんながそろっている
今しかできないプレゼントがいいんじゃないかしら","Since we're all here, why don't we give something
that can only be given when everyone is together."
"Limited_0001_A_00_00_033(0)","やよい","それじゃあ、みんなでありがとうの気持ちを
いーっぱいこめて、お菓子を手作りしませんか？","Then, why don't we all express our
gratitude with handmade sweets?"
"Limited_0001_A_00_00_034(0)","伊織","いいアイディアじゃない♪　プロデューサー、
感動して泣いちゃうんじゃないかしら！　にひひっ♪","That's a great idea.
I'm sure he'll be moved to tears! Hee hee."
"Limited_0001_A_00_00_035(0)","あずさ","あら、素敵ね♪
お誕生日と言えば……やっぱり、ケーキかしら？","Oh, that's nice♪ When it comes to birthdays...
I guess cake is the way to go?"
"Limited_0001_A_00_00_036(0)","凛世","真心込めた……
一品を……","It's sincere...
One of a kind..."
"Limited_0001_A_00_00_037(0)","響","それなら、ドドーンと巨大なケーキを
みんなで作るのはどう！？","Then how about making a huge
cake together with a big bang?"
"Limited_0001_A_00_00_038(0)","甜花","巨大ケーキ……！
おいしそう……それに、楽しそう……","A giant cake...!
That looks delicious... and fun..."
"Limited_0001_A_00_00_039(0)","蘭子","ユグドラシルのごとき、巨大なる生誕の供物！","A huge birth offering, like Yggdrasil!"
"Limited_0001_A_00_00_040(0)","蘭子ログ","（大きなバースデーケーキですか！？）","(A big birthday cake!?)"
"Limited_0001_A_00_00_041(0)","真","面白そうだね。あ、でもあんまり大きすぎると、
プロデューサーが食べきれないんじゃないかな？","Sounds interesting. Oh, but if it's too
big, producer-san couldn't eat them all."
"Limited_0001_A_00_00_042(0)","律子","それなら、お世話になってる人も招待して、
みんなでお祝いする、っていうのはどうかしら","Then how about we invite our friends 
and celebrate together."
"Limited_0001_A_00_00_043(0)","果穂","スッゴくいいと思います！","I think it's a great idea!"
