"id","character","source","translatedstr"
"DLC_00_0001_A_00_00_001(0)","Ｐ","（ルミナスが解散してからも、アイドルたちは
それぞれの事務所で順調に活動を続けていた）","(Even after Luminous disbanded, idols
(They were doing well in their respective offices.)"
"DLC_00_0001_A_00_00_002(0)","Ｐ","（そんなある日、春香たち１３人のアイドルと
心白と亜夜が社長に集められた）","(One day, Haruka and 13 other idols and
(Shinbaku and Aya were collected by the president)"
"DLC_00_0001_A_00_00_003(0)","亜美","ねえねえ、兄ちゃん。
なんで亜美たち、社長に呼び出されたの？","Hey, hey, brother.
Why were Ami and the others summoned by the president?"
"DLC_00_0001_A_00_00_004(0)","真美","も、もしかして、亜美と一緒に事務所に仕掛けた
イタズラがバレちゃったのかも！？　うあうあ～！","Maybe you and Ami set it up in the office.
Maybe the prank got caught! Uhhhhhhh~!"
"DLC_00_0001_A_00_00_005(0)","Ｐ","俺も詳しいことは聞いていないが……。
イタズラを仕掛けるなといつも言っているだろう？","I haven't heard the details either, but you can find them at .......
I always tell you not to play tricks on me, don't I?"
"DLC_00_0001_A_00_00_006(0)","律子","まったく……。あなたたち、
後で話があるから、残っておくように","Totally ....... you guys,
We'll talk later. Stay behind."
"DLC_00_0001_A_00_00_007(0)","心白","あの、どうして私と亜夜ちゃんまで、
７６５プロに呼ばれたんでしょうか？","Um, why even me and Aya,
Were you invited by 765 Pro?"
"DLC_00_0001_A_00_00_008(0)","亜夜","眞弓さんに理由を聞いたんだけど、
高木社長から直接聞いてくれって言われたわ","I asked Mayumi why,
Manager Takagi asked me to ask him directly."
"DLC_00_0001_A_00_00_009(0)","高木","ふっふっふっ……気になるかね？
それでは……","Phew phew phew... ...... care?
Let's see: ......"
"DLC_00_0001_A_00_00_010(0)","高木","うぉっほん！　我が７６５プロの諸君、
そして奥空君と亜夜君！","My fellow 765 Pro members,
And then there's Oku-sora-kun and Aya-kun!"
"DLC_00_0001_A_00_00_011(0)","高木","皆、よく来てくれたね！","Thank you all for coming!"
"DLC_00_0001_A_00_00_012(0)","高木","今年はアイドルにとって特別な年になる。
そんな年を記念して、事務所横断の合同ライブ……","This year will be a special year for idols.
To commemorate such a year, a joint live performance across offices ......"
"DLC_00_0001_A_00_00_013(0)","高木","『Ｍ＠ＳＴＥＲＳ　ＯＦ　ＩＤＯＬ
ＷＯＲＬＤ！！』が開催されることになった！","M@STERS OF IDOL
WORLD!"
"DLC_00_0001_A_00_00_014(0)","Ｐ","ええっ、合同ライブですか！？
ということは、もしかして……","What, a joint concert?
So, maybe you'd like to ......"
"DLC_00_0001_A_00_00_015(0)","高木","うむ！
我が７６５プロにも、参加要請があってね","Mm!
We, 765 Productions, have been asked to participate."
"DLC_00_0001_A_00_00_016(0)","高木","ぜひ、運営側が用意する新曲を
披露してほしいと、お願いされたのだよ","We would love to have a new song prepared by the management.
They asked me to show you, they asked me to show you."
"DLC_00_0001_A_00_00_017(0)","高木","また、その企画のひとつとして、衣装も
全員でおそろいのものを用意してくれるそうだ","Also, as part of the project, costumes will be
They're going to have matching ones for all of us."
"DLC_00_0001_A_00_00_018(0)","春香","わぁ！　そんなすごいライブに、
私たちが出られるんですね！","Wow! Such a great gig,
So we can leave!"
"DLC_00_0001_A_00_00_019(0)","雪歩","新曲まであるなんて……。
すごいライブみたいだね、真ちゃん","I can't believe there are even new songs. ......
Sounds like a great gig, true."
"DLC_00_0001_A_00_00_020(0)","真","そうだね。うぅ～、燃えてきた！
雪歩。一緒に頑張ろう！","Yes...ugh...I'm on fire!
Let's work together!"
"DLC_00_0001_A_00_00_021(0)","Ｐ","（こ、これはすごいことになってきたぞ……！）","(Hey, this is going to be great. ......!)"
"DLC_00_0001_A_00_00_022(0)","高木","それと、奥空君と亜夜君にも、
参加要請が来ていてね","And to you, Okuora-kun and Aya-kun,
I've been asked to participate."
"DLC_00_0001_A_00_00_023(0)","高木","眞弓君から、我が７６５プロに
君たちのプロデュースの依頼があったんだよ","From Mayumi to our 765 Pro
I've been asked to produce you guys."
"DLC_00_0001_A_00_00_024(0)","心白","……！　私たちも７６５プロのみなさんと一緒に、
参加できるんですね！","......! We are also with you, 765 Pro,
You can participate!"
"DLC_00_0001_A_00_00_025(0)","Ｐ","ですが、どうしてうちの事務所に依頼を？","But why did you hire our firm?"
"DLC_00_0001_A_00_00_026(0)","高木","今回は大きなライブになるからね。君の腕を
見込んで、奥空君と亜夜君を任せたいそうなんだ","It's going to be a big gig this time, your arm.
She wants to entrust Mr. Okumora and Mr. Aya to me in anticipation."
"DLC_00_0001_A_00_00_027(0)","高木","責任重大だが……、
君も望むところだろう？","It's a big responsibility, but you can find out more at ......,
You'd like that, wouldn't you?"
"DLC_00_0001_A_00_00_028(0)","Ｐ","はい、任せてください！","Yes, I'll take care of it!"
"DLC_00_0001_A_00_00_029(0)","高木","うむ！
君ならば必ず成功できると信じているよ","Mm!
I have no doubt you will make it."
"DLC_00_0001_A_00_00_030(0)","高木","まず皆には『Ｍ＠ＳＴＥＲＳ　ＯＦ　ＩＤＯＬ
ＷＯＲＬＤ！！』のプレイベント……","First of all, I'd like to say ""M@STERS OF IDOL"" to everyone.
Pre-event for ""WORLD!!!"" ......"
"DLC_00_0001_A_00_00_031(0)","高木","『スマイルフェスタ』に参加してもらうことになる","You will be asked to participate in the ""Smilefest."""
"DLC_00_0001_A_00_00_032(0)","高木","『スマイルフェスタ』は福岡・大阪・名古屋・札幌・
東京の５大都市で行われる大規模なライブだ","Smile Festa"" is held in Fukuoka, Osaka, Nagoya, Sapporo, and
It's a massive gig, taking place in five major cities in Tokyo."
"DLC_00_0001_A_00_00_033(0)","高木","それと、このライブには
『笑顔』というテーマがある","Oh, and for this gig.
There is a theme of ""Smile."
"DLC_00_0001_A_00_00_034(0)","高木","このテーマで君たちがどんなライブを
見せてくれるか、楽しみにしているよ！","What kind of live performance you guys are going to do on this theme
I look forward to seeing what you show us!"
"DLC_00_0001_A_00_00_035(0)","Ｐ","はい！","Yes!"
"DLC_00_0001_A_00_00_036(0)","Ｐ","（『笑顔』がテーマか。
しっかり考えていかないとな）","(Is the theme ""Smile""?
I'll have to think this through.)"
"DLC_00_0001_A_00_00_037(0)","亜美","スゴイよ、真美！　全国ツアーだって！
みんなで全国回っちゃうっぽいよ！","Mami, that's great! They're going on a national tour!
It seems like everyone is going around the country!"
"DLC_00_0001_A_00_00_038(0)","真美","絶対楽しいっしょ！　はい、兄ちゃんセンセー！
バナナはおやつに入りますか？","It's definitely fun, isn't it? Yes, brother-sensei!
Does a banana count as a snack?"
"DLC_00_0001_A_00_00_039(0)","Ｐ","傷むと怖いから、バナナは現地で買おうな","I'm afraid of damaging them, so buy bananas locally."
"DLC_00_0001_A_00_00_040(0)","真美","あいあいさー！","Aisa!"
"DLC_00_0001_A_00_00_041(0)","雪歩","ライブツアーか……考えただけでドキドキするけど、
それより、楽しみって気持ちの方が大きいかも","I'm nervous just thinking about a live tour or ......, though,
I think I'm more excited about it."
"DLC_00_0001_A_00_00_042(0)","真","ボクも！　すっごくワクワクするよね。
他にはどんなアイドルが参加するんだろう？","I'm so excited!
What other idols will participate?"
"DLC_00_0001_A_00_00_043(0)","伊織","誰が参加しても、会場を一番盛り上げるのは
この私で決まりね。にひひっ♪","No matter who attends, the most exciting part of the event is
I'll take that as a no-brainer."
"DLC_00_0001_A_00_00_044(0)","貴音","ふふ、また皆と共に舞台に立てるかと思うと、
心が躍ります","I can't wait to be on stage with everyone again,
It makes my heart sing."
"DLC_00_0001_A_00_00_045(0)","やよい","うっうー！　私、メラメラーって燃えてきました！
早くレッスンがしたいですーっ！","Wooooo! I'm burning up with mela mela mela!
I can't wait to have a lesson!"
