"id","character","source","translatedstr"
"DLC_04_0001_A_00_00_001(0)","P","（ルミナスが解散して、しばらく。
アイドルたちは目まぐるしく活動していた）","(Luminous has been disbanded for some time now.
(The idols were working at a dizzying pace.)"
"DLC_04_0001_A_00_00_002(0)","P","（そんなある日、『大切な話がある』と、
社長室に呼び出された）","(Then one day, he said, ""I have something important to tell you,
(Called to the president's office)"
"DLC_04_0001_A_00_00_003(0)","P","お疲れ様です、社長","Good work, Manager."
"DLC_04_0001_A_00_00_004(0)","高木","やあ、待っていたよ！","Hey, I've been waiting for you!"
"DLC_04_0001_A_00_00_005(0)","高木","改めて、スターリットシーズン。
最高の盛り上がりだったね！","Once again, a starlit season.
That was a great turnout!"
"DLC_04_0001_A_00_00_006(0)","高木","アイドル諸君にとっても、
いい経験になったみたいでなによりだ","For the idols, too,
Glad you had a good experience."
"DLC_04_0001_A_00_00_007(0)","P","はい、俺もそう思います！
ファンも今まで以上に増えました","Yes, I agree!
We have more fans than ever."
"DLC_04_0001_A_00_00_008(0)","高木","うむ！
これも君とアイドルたち、皆が頑張った証だね","Mm!
This is also a testament to the hard work you and your idols have all put in."
"DLC_04_0001_A_00_00_009(0)","高木","しかーし！　これで終わりではない！","But this is not the end of the story!"
"DLC_04_0001_A_00_00_010(0)","P","と言いますと？","What do you mean?"
"DLC_04_0001_A_00_00_011(0)","高木","実はスターリットドームに、新たなステージ……
『スターリットレインボー』が建造されたそうなんだ","In fact, the Starlit Dome has a new stage: ......
I heard that the ""Starlit Rainbow"" was built."
"DLC_04_0001_A_00_00_012(0)","高木","それで今度、完成披露ライブが行われることに
なったのだが、その記念すべき最初のステージを……","So now we're going to have a live show to celebrate the completion of the project.
The first stage of the commemorative event was held at ......"
"DLC_04_0001_A_00_00_013(0)","高木","スターリットシーズンで活躍したアイドルから、
天海君たち１３人にぜひと、依頼があったのだよ！","From Idol, which was active during the Starlit season,
I was asked to do it by all of you, Amami and the other 13!"
"DLC_04_0001_A_00_00_014(0)","P","ええっ、春香たちにですか！？
それで社長は……","What, to Haruka and the others?
So the president is ......"
"DLC_04_0001_A_00_00_015(0)","高木","もちろん、快諾したよ。
皆にとっても、またとない経験になるだろうからね","Of course, I readily agreed.
It will be a unique experience for all of us."
"DLC_04_0001_A_00_00_016(0)","高木","スターリットレインボーは、初の洋上ライブ会場だ","Starlit Rainbow is the first live venue at sea."
"DLC_04_0001_A_00_00_017(0)","高木","真のトップアイドルだけが立つことができる、
世界屈指のライブ会場にしたいと聞いている","Only true top idols can stand,
I hear they want to make it one of the best live venues in the world."
"DLC_04_0001_A_00_00_018(0)","P","そ、そんなすごいステージのお披露目ライブに、
みんなが選ばれるなんて……！","So, to the unveiling live performance of such an amazing stage,
I can't believe everyone was chosen. ......"
"DLC_04_0001_A_00_00_019(0)","高木","なに、きっと今の天海君たちなら、
完璧にこなしてくれるだろう","What, I'm sure that Amami and her friends would do it now,
They'll do it perfectly."
"DLC_04_0001_A_00_00_020(0)","P","はい！　ルミナスが解散してからも、
精力的に活動していますから","Yes! Even after Luminous disbanded,
Because we are working vigorously"
"DLC_04_0001_A_00_00_021(0)","P","彼女たちなら
素晴らしいステージにできると思います","They can do it.
I think we can make it a great stage."
"DLC_04_0001_A_00_00_022(0)","高木","プロデュースは、彼女たちを一番近くで見てきた
君に任せたいと思っている。受けてくれるかね？","Produced by the girls who have seen them at their closest.
I'd like to leave it in your hands, will you take it?"
"DLC_04_0001_A_00_00_023(0)","P","もちろんです！
必ずライブを成功に導いてみせます！","Of course!
I will make sure to make the concert a success!"
"DLC_04_0001_A_00_00_024(0)","高木","うむ、いい返事だ！
君ならそう言ってくれると思っていたよ","Mm, good answer!
I knew you would say that."
"DLC_04_0001_A_00_00_025(0)","高木","詳細はここに書かれているから、
確認してくれたまえ","Because the details are here,
Check it out."
"DLC_04_0001_A_00_00_026(0)","P","分かりました！","I understand!"
"DLC_04_0001_A_00_00_027(0)","P","（これからますます忙しくなるぞ……！）","(It's going to get busier and busier: ......!)"
"DLC_04_0001_A_00_00_028(0)","P","（それから詳細を確認して、
みんなに事務所に集まってもらった）","(Then check the details,
(I had everyone gather in my office.)"
"DLC_04_0001_A_00_00_029(0)","P","……ということで、みんなに、
ライブを行ってもらうことになった","......, so to all of you,
We're going to have a live performance."
"DLC_04_0001_A_00_00_030(0)","春香","わ、私たちが、
そんなすごいステージのお披露目公演に！？","Wow, we are,
For the unveiling performance of such an amazing stage!"
"DLC_04_0001_A_00_00_031(0)","律子","スターリットレインボー……。
世界屈指の洋上ライブ会場……興味深いわね","Starlit Rainbow. .......
One of the best offshore live venues in the world: ...... Interesting."
"DLC_04_0001_A_00_00_032(0)","雪歩","あわわ……。す、すごすぎますぅ～！
すごすぎて……はううぅ……","Awww ....... Soooooooooo!
It's so awesome ...... hahahahahahah ......"
"DLC_04_0001_A_00_00_033(0)","真","わあっ！？　ゆ、雪歩大丈夫！？
しっかりして！","YU, Yukiho, are you okay?
Stay tight!"
"DLC_04_0001_A_00_00_034(0)","雪歩","はうっ！？　ご、ごめんね、真ちゃん。
びっくりしすぎて気絶しちゃった……","Huh! I'm sorry, Shin-chan.
I was so surprised I passed out: ......"
"DLC_04_0001_A_00_00_035(0)","真","ゆ、雪歩ってば大げさだって","Yukiho, you're overreacting!"
"DLC_04_0001_A_00_00_036(0)","真美","とかなんとか言って、
まこちんも声が震えてますぞ？","And something like that,
Makocin's voice is shaking too."
"DLC_04_0001_A_00_00_037(0)","亜美","ブルブルのブルドッグですな～！
ブルブルブル～","It's a bulldog with a bulldog's bulldog!
Blah, blah, blah."
"DLC_04_0001_A_00_00_038(0)","雪歩","亜美ちゃんも真美ちゃんも、どんなステージでも
緊張しないよね。すごいなぁ……","Ami and Mami, no matter what stage they are on.
I'm not nervous...that's great ......"
"DLC_04_0001_A_00_00_039(0)","P","言われてみれば、ふたりが緊張しているところは
見たことがないような気がするな……","If you ask me, the part where the two of us are nervous is
I don't think I've ever seen that before. ......"
"DLC_04_0001_A_00_00_040(0)","P","これからは俺も緊張しないように……","From now on I won't be nervous either: ......"
"DLC_04_0001_A_00_00_041(0)","選択肢","亜美を見習う","Learn from Ami"
"DLC_04_0001_A_00_00_042(0)","選択肢","真美を師匠と呼ぶ","Calls Mami her master."
"DLC_04_0001_A_00_00_043(0)","P","俺も亜美を見習わせてもらうよ","I'll take a lesson from Ami, too."
"DLC_04_0001_A_00_00_044(0)","亜美","んっふっふ～。兄ちゃんも亜美のすごさに
気づいてしまったようだね……","Ami's amazingness is so amazing, even my brother is amazed.
I see you've noticed: ......"
"DLC_04_0001_A_00_00_045(0)","亜美","いいだろう！
亜美を見習うことを許してしんぜよう！","All right!
Let us allow ourselves to follow Ami's example!"
"DLC_04_0001_A_00_00_046(0)","P","はは～！　ありがたき幸せ～！","Haha~! Grateful happiness~!"
"DLC_04_0001_A_00_00_047(0)","P","真美のことを師匠と呼ばせてもらうよ。
真美師匠！","I'll call Mami my mentor.
Master Mami!"
"DLC_04_0001_A_00_00_048(0)","真美","ふぉっふぉっふぉ～。
これからも真美のもとで修業をつみたまえ","Woo hoo hoo!
Please continue your training under Mami."
"DLC_04_0001_A_00_00_049(0)","真美","真美はスーパーでサイキョーで
ムテキなせくしーアイドルじゃからのう！","Mami is at the supermarket in Saikyo.
She is a very sexy idol!"
"DLC_04_0001_A_00_00_050(0)","P","はいっ、師匠！","Yes, Master!"
"DLC_04_0001_A_00_00_051(0)","律子","ちょっと、プロデューサーまで何やってるんですか？
まだ説明が終わってませんよ","Wait a minute, what are you even doing with the producer?
I haven't finished explaining yet."
"DLC_04_0001_A_00_00_052(0)","P","あ、ああ、そうだったな。
えー、コホン……","Oh, yeah, right.
Er, cohon: ......"
"DLC_04_0001_A_00_00_053(0)","P","今回のライブでは新曲と新衣装を用意して、
１３人がひとつのステージに立つことになる","For this concert, we will have new songs and new costumes,
Thirteen people will be on one stage."
"DLC_04_0001_A_00_00_054(0)","P","完成披露ライブの前に、
プロモーションライブが３回あって……","Before the completion concert,
There were three promotional gigs and ......"
"DLC_04_0001_A_00_00_067(0)","伊織","新曲に新衣装、まさに伊織ちゃんたちに
ふさわしいステージってわけね。にひひっ♪　","New song, new clothes, just like Iori and her friends.
A suitable stage, huh?"
"DLC_04_0001_A_00_00_055(0)","P","新曲だけは、そのプロモーションライブで
先行公開になる予定だ","Only the new songs will be at its promotional gigs.
It's supposed to be a pre-publication."
"DLC_04_0001_A_00_00_056(0)","やよい","わあー！　またみんなで一緒に
ライブができるんですねー！","Wow! We're all together again.
You can do a live show!"
"DLC_04_0001_A_00_00_057(0)","やよい","うっうー！
私、メラメラーってしてきました！","Uh-oh!
I, I've been melamed!"
"DLC_04_0001_A_00_00_058(0)","響","自分もうずうずしてきたぞ！
プロデューサー、早くレッスンさせてよー！","I'm getting the itch myself!
Producer, let me give you a lesson as soon as possible!"
"DLC_04_0001_A_00_00_059(0)","貴音","ふふっ。やよいも響も気合十分ですね。
無論、私も全力で挑む所存です","Phew, both Yayoi and Hibiki are very enthusiastic.
Of course, I am willing to give it my all."
"DLC_04_0001_A_00_00_060(0)","美希","ミキ、大変なのはあんまり好きじゃないけど、
ライブは楽しみかも♪","Miki, I don't really like hard work,
Live music might be fun..."
"DLC_04_0001_A_00_00_061(0)","あずさ","立派なステージでライブをするのは
ちょっぴり緊張するけれど……","To perform live on a magnificent stage is
I'm a little nervous but ......"
"DLC_04_0001_A_00_00_062(0)","あずさ","みんながいれば、きっと大丈夫よね。
頑張ってレッスンしなくちゃ♪","I'm sure we'll be fine as long as everyone is here.
I'll have to work hard on my lessons... ♪"
"DLC_04_0001_A_00_00_063(0)","春香","千早ちゃん、私達も頑張ろうねっ！","Chihaya, we'll do our best too!"
"DLC_04_0001_A_00_00_064(0)","千早","ええ。選ばれたからには、
必ず最高のステージにしましょう","Yes, because I was chosen,
Let's make sure it's the best stage ever!"
"DLC_04_0001_A_00_00_065(0)","春香","プロデューサーさん、
よろしくお願いします！","Producer,
Best regards!"
"DLC_04_0001_A_00_00_066(0)","P","しっかりプロデュースするって約束するよ。
みんなで一丸となって駆け抜けよう！","I promise to produce well.
Let's all run through as one!"
"DLC_04_0002_A_00_00_001(0)","P","（春香たちは３つのチームに分かれて、
新曲のレッスンに打ち込んでいた）","(Haruka and her team were divided into three teams,
(She was devoting himself to a lesson on a new song.)"
"DLC_04_0002_A_00_00_002(0)","P","（まずは春香と千早と美希の様子を
見に行こう……）","(First, let's check on Haruka, Chihaya and Miki.
(Let's go see: ......)"
"DLC_04_0002_A_00_00_003(0)","春香","ファイブ、シックス、セブン、エイト、
最後に星を描いて……キメポーズ！","Five, Six, Seven, Eight,
Finally, draw a star and pose ...... Kimepozu!"
"DLC_04_0002_A_00_00_004(0)","トレーナー","みんな、すごくよかったわよ！
もうここまで踊れるなんてさすがね","You guys were so good!
I'm amazed you can dance this well already."
"DLC_04_0002_A_00_00_005(0)","春香","ふぅ……。
みんな、どうかな？","Phew. .......
What do you guys think?"
"DLC_04_0002_A_00_00_006(0)","美希","んー、あのね、ミキ気になるところがあるの。
Ａメロのラストなんだけど……","Well, you know, Miki, there's something that's bothering me.
It's the last part of the A melody: ......"
"DLC_04_0002_A_00_00_007(0)","美希","ミキ的には、もっと大きく動いた方が、
いいカンジになるって思うな","In terms of Miki, it's more of a big move,
Don't think it will be a good feeling."
"DLC_04_0002_A_00_00_008(0)","千早","確かに、動きを大きくした方が
見栄えがいいかも……","Certainly, the greater the movement, the better.
Might look good: ......"
"DLC_04_0002_A_00_00_009(0)","春香","あ、だったらそこは立ち位置がずれやすいから、
大きく動いても問題ないか、確認した方がいいかも","Oh, then it's easy to get out of position there,
You might want to make sure you're okay with a big move."
"DLC_04_0002_A_00_00_010(0)","春香","よし……じゃあ、一回やってみよう。
二人とも、行くよー！","Okay, ......, let's try one then.
I'll be there, both of you!"
"DLC_04_0002_A_00_00_011(0)","美希","……うん、ダンスはこれでバッチリなの！
千早さん、気になるところある？","......Yeah, the dance is perfect for this!
Chihaya, is there anything you're interested in?"
"DLC_04_0002_A_00_00(133)","美希","千早さん、気になるところある？","Chihaya, is there anything you're interested in?"
"DLC_04_0002_A_00_00_012(0)","千早","そうね。サビのラスト。
もっと声を伸ばした方が……","Yes, the last part of the chorus.
You need to stretch your voice more: ......"
