"id","character","source","translatedstr"
"DLC_01_0001_A_00_00_001(0)","アナウンサー","地球に迫った彗星による、世紀の天体ショーが
近づいています","The celestial show of the century, caused by a comet approaching the earth
We are getting close."
"DLC_01_0001_A_00_00_002(0)","アナウンサー","この彗星は以前より観測されていましたが、
近々地球に最接近します","This comet has been observed for some time,
It will soon make its closest approach to the earth."
"DLC_01_0001_A_00_00_003(0)","アナウンサー","彗星の到来に合わせて、日本各地で
さまざまなイベントが企画されています","Around Japan, in conjunction with the comet's arrival
Various events are planned"
"DLC_01_0001_A_00_00_004(0)","Ｐ","……","……"
"DLC_01_0001_A_00_00_005(0)","アナウンサー","非周期彗星でＳＮＳでは
『フォーチュン彗星』と呼ばれ","A non-periodic comet and a social networking site.
It is called ""Comet Fortune."
"DLC_01_0001_A_00_00_006(0)","アナウンサー","幸運の星とも不幸を呼ぶ星とも
噂されています","It can be a lucky star or an unlucky star.
Rumors."
"DLC_01_0001_A_00_00_007(0)","Ｐ","さてと、そろそろ時間か……","Well, it's about time. ......"
"DLC_01_0001_A_00_00_008(0)","テキスト表示","俺の部屋に青い封筒が届いた。差出人は『ルミナス』
となっているが、どういうことだろう……","I received a blue envelope in my room from ""Luminous.""
but what does it mean: ......"
"DLC_01_0001_A_00_00_009(0)","テキスト表示","中には一連の招待状が入っていた","Inside were a series of invitations."
"DLC_01_0001_A_00_00_010(0)","テキスト表示","『特別な宴に、貴方をご招待します。
指定された日に事務所へお越しください』","We invite you to a special banquet.
Please come to the office on the designated date."
"DLC_01_0001_A_00_00_011(0)","テキスト表示","『そこに、ささやかな謎を用意しました。
懐かしい顔ぶれと謎解きを楽しんでください』","There, I have prepared a little mystery for you.
Enjoy solving riddles with old faces."""
"DLC_01_0001_A_00_00_012(0)","テキスト表示","『そして、謎が解けたら
２番目の引き出しを開けてください』","'And when the mystery is solved
Open the second drawer."
"DLC_01_0001_A_00_00_013(0)","テキスト表示","……一体、何なんだろう？","What in the world is ......?"
"DLC_01_0001_A_00_00_014(0)","テキスト表示","ともあれ、ルミナスの名前がある以上、
無視するわけにもいかない","Anyway, as long as the name Luminous is there,
I can't just ignore it."
"DLC_01_0001_A_00_00_015(0)","テキスト表示","俺は事務所に向かうため、部屋を出た","I left my room to go to the office."
"DLC_01_0001_A_00_00_016(0)","Ｐ","事務所か……。
いつも通りに思えるけど、何があるんだろうな……","Office or .......
Seems like business as usual, but I wonder what's in store: ......"
"DLC_01_0001_A_00_00_017(0)","","ガチャ","method of selling random in-game items in mobile games (similar to how capsule toys are sold)"
"DLC_01_0001_A_00_00_018(0)","ちひろ","おはようございます。プロデューサーさん","Good morning, producer."
"DLC_01_0001_A_00_00_019(0)","Ｐ","あっ、千川さん。来ていたんですか？","Oh, Chigawa-san, you came?"
"DLC_01_0001_A_00_00_020(0)","ちひろ","はい、それが……いつの間にか私のスケジュールに、
ルミナスの事務所を開けるように入っていたんです","Yes, that's ...... my schedule before I know it,
They were in there to open the Luminous office."
"DLC_01_0001_A_00_00_021(0)","ちひろ","不思議だなと思ったんですけど、確認はしたくて……
あ、ルミナスのみなさんは来ていますよ！","I thought it was strange, but I wanted to check: ......
Oh, the Luminas are here!"
"DLC_01_0001_A_00_00_022(0)","Ｐ","分かりました。
ん？　そこにいるのは……","
Hmm? There you are: ......"
"DLC_01_0001_A_00_00_023(0)","千早","お疲れさまです、プロデューサー。
みなさんこちらに","Good job, producer.
Everyone, this way."
"DLC_01_0001_A_00_00_024(0)","Ｐ","千早、来てたのか！
それに、みんなってことは……","Chihaya, you're here!
And by everyone, I mean ......"
"DLC_01_0001_A_00_00_025(0)","凛世","はい……
プロデューサーさま……","Yes ......
Dear Producer: ......"
"DLC_01_0001_A_00_00_026(0)","Ｐ","凛世も来ていたのか。
それに、律子と静香も","Rinze was here too?
And Ritsuko and Shizuka."
"DLC_01_0001_A_00_00_027(0)","律子","私たちだけじゃありませんよ。これだけの人数が
集まると、またルミナスの活動が始まるみたいですね","We're not the only ones.
When we get together, it looks like the luminous activity will start again!"
"DLC_01_0001_A_00_00_028(0)","静香","お仕事の現場やレッスンで何人かと
お会いすることはありましたけど……","I've been working with some of them on the job site and in lessons.
We've met, but ......"
"DLC_01_0001_A_00_00_029(0)","静香","この事務所に集まると、
何だか別の嬉しさがありますね","When they gather in this office,
There's something else that makes me happy."
"DLC_01_0001_A_00_00_030(0)","咲耶","やあ、プロデューサー。
みんなも元気そうでなによりだ","Hey, producer.
Glad to hear everyone is doing well."
"DLC_01_0001_A_00_00_031(0)","蘭子","星光の乙女達との再びの邂逅に
我が魂も駆り立てられたわ！","For another chance encounter with the maidens of starlight
My soul has been spurred on, too!"
"DLC_01_0001_A_00_00_032(0)","蘭子ログ","（みんなにまた会えるって聞いて、
早く事務所に着いちゃいました～！）","(I heard I would see everyone again,
(I got to the office early!)"
"DLC_01_0001_A_00_00_033(0)","律子","まだ集合時間前だものね。
私も早く着きすぎちゃったみたい","It's still before the meeting time.
I think I got here too early."
"DLC_01_0001_A_00_00_034(0)","紬","そうですね。
つい、早く家を出てしまいました","Yes, it is.
I just left home early."
"DLC_01_0001_A_00_00_035(0)","貴音","私も皆と再会できること、
真、楽しみにしておりました","That I can be reunited with everyone too,
True, I have been looking forward to it."
"DLC_01_0001_A_00_00_036(0)","Ｐ","待たせてしまったようだな……。
すまなかったな、みんな！","I guess I made you wait. ......
Sorry about that, guys!"
"DLC_01_0001_A_00_00_037(0)","静香","気にしないでください。
待っている間も、近況の話をしてましたから","Never mind.
While we were waiting, we were talking about what's going on."
"DLC_01_0001_A_00_00_038(0)","蘭子","フフフ……我らの魂に刻まれた、
新たなる伝説を分かち合っていたわ","Hmph ...... engraved in our souls,
We were sharing a new legend."
"DLC_01_0001_A_00_00_039(0)","蘭子ログ","（みんなと最近の活動の話をして、
盛り上がっちゃいました♪）","(Talk about recent activities with everyone,
(I got so excited...)"
"DLC_01_0001_A_00_00_040(0)","咲耶","積もる話があるからね。
それに、ここでみんなと話していると落ち着くよ","We have a lot of stories to pile up.
Besides, I feel at home here talking to everyone."
"DLC_01_0001_A_00_00_041(0)","紬","他にも、世間話などもしていました","We also had other small talk."
"DLC_01_0001_A_00_00_042(0)","凛世","彗星の話が……
とても面白く……","The comet story is at ......
Very interesting ......"
"DLC_01_0001_A_00_00_043(0)","律子","もうすぐ地球に最接近する
フォーチュン彗星の話をしてたんです","The closest approach to the earth will be soon.
We were talking about Comet Fortune."
"DLC_01_0001_A_00_00_044(0)","律子","ＳＮＳでは結構話題ですが、
意外と知らない人も多いみたいで","It's quite a hot topic on social networking sites,
Surprisingly, many people don't seem to know about it."
"DLC_01_0001_A_00_00_045(0)","Ｐ","ああ、そういえば今朝のニュースで見たな。
さすが、律子は情報が早いな","Oh, I saw that on the news this morning.
You're right, Ritsuko, you're very quick with information."
"DLC_01_0001_A_00_00_046(0)","千早","プロデューサーもご存じだったんですね。
私も彗星、見てみたいです","So you knew the producer.
I would like to see the comet, too."
"DLC_01_0001_A_00_00_047(0)","律子","ふふっ、そうね。あ、ところで、プロデューサー。
そろそろ本題に入ってもいいですか？","Oh, by the way, producer.
Can we get down to business now?"
