"id","character","source","translatedstr"
"DLC_02_0001_A_00_00_001(0)","P","（ルミナスが解散した後も、それぞれが精力的に
活動している。そんな、ある日……）","(Even after Luminous disbanded, each of them continued to work energetically
(......) one such day."
"DLC_02_0001_A_00_00_002(0)","美咲","……プロデューサーさん！
おはようございま～す！","...... Producer!
Good morning!"
"DLC_02_0001_A_00_00_003(0)","P","おはようございます、青羽さん。
どうかしたんですか？","Good morning, Aoba-san.
Is something wrong?"
"DLC_02_0001_A_00_00_004(0)","美咲","聞いてください！
ビッグニュースです～！","Listen!
Big news~!"
"DLC_02_0001_A_00_00_005(0)","美咲","なんとっ！　『ＬＯＶＥフラッグシアター』の
ステージで大規模イベントが開催されるんです！","What a surprise! ""LOVE Flag Theatre"".
There's a big event on stage!"
"DLC_02_0001_A_00_00_006(0)","P","大規模イベントですか！
それは面白そうですね","Is it a large-scale event?
That sounds interesting."
"DLC_02_0001_A_00_00_007(0)","美咲","はい♪　詳細はこちらの資料に
載っているので、ご確認くださいね","Yes...Â More details in this document.
Please check the listing."
"DLC_02_0001_A_00_00_008(0)","P","ありがとうございます。ええと……ラストステージ
であるＬＯＶＥフラッグシアターに立つには……","Thank you, um ...... last stage
To stand in the LOVE Flag Theater, which is ......"
"DLC_02_0001_A_00_00_009(0)","P","イベント『アンダー・ＬＯＶＥフラッグ』を
勝ち抜かなければならない、ですか","The event ""Under LOVE Flag"".
You have to win through, is that right?"
"DLC_02_0001_A_00_00_010(0)","美咲","はい。すでにたくさんの
アイドルがエントリーしてるそうなんですよ","Yes, we already have a lot of
I hear the idol is entering."
"DLC_02_0001_A_00_00_011(0)","美咲","厳しい戦いになりそうですけど、
大注目のイベントですね！","It's going to be a tough fight, though,
This is a very high-profile event!"
"DLC_02_0001_A_00_00_012(0)","P","……青羽さん。アンダー・ＬＯＶＥフラッグに
参加したいと思います！","...... Aoba. under LOVE the flag.
I would like to participate!"
"DLC_02_0001_A_00_00_013(0)","美咲","分かりました。では、エントリーしておきますね。
メンバーは、どうしますか？","Okay, I'll make an entry then.
What should members do?"
"DLC_02_0001_A_00_00_014(0)","P","今回のライブはユニット単位での参加なんですね。
『スターリットシーズン』を思い出すな……","I see that you are participating in this show as a unit unit.
Reminds me of The Starlit Season: ......"
"DLC_02_0001_A_00_00_015(0)","高木","うぉっほん！
話は聞いたようだね","Wow!
I see you've been listening."
"DLC_02_0001_A_00_00_016(0)","P","社長！　いつの間に……","Manager! When did you get ......"
"DLC_02_0001_A_00_00_017(0)","高木","壁に耳あり障子に目あり、
７６５プロの事務所に高木あり、だよ！","There are ears on the wall and eyes on the shoji,
There's Takagi in the office of 765 Pro, you know!"
"DLC_02_0001_A_00_00_018(0)","高木","それで、ユニットの件だが……ルミナスのように
事務所を横断して結成するというのはどうかね？","So, about the unit, like ...... luminous.
How about forming a cross-firm?"
"DLC_02_0001_A_00_00_019(0)","P","ええっ、いいんですか？","Eh, are you sure?"
"DLC_02_0001_A_00_00_020(0)","高木","他の事務所には私から声をかけておこう。
きっと、快い返事をくれるはずだ","I will speak to the other offices myself.
I'm sure you'll get a pleasant response."
"DLC_02_0001_A_00_00_021(0)","高木","様々なアイドルが集うことが、互いの成長に繋がる。
そのことを、ルミナスが示してくれたのだからね","The gathering of various idols leads to mutual growth.
That's what Luminous has shown us."
"DLC_02_0001_A_00_00_022(0)","高木","よし、折角の機会だ
新ユニットのための新曲も手配しておこう","Okay, this is an opportunity.
We'll also arrange new music for the new unit."
"DLC_02_0001_A_00_00_023(0)","美咲","わぁ、それなら、
新しい衣装も用意しないといけませんね♪","Wow, then,
I'll have to get you a new outfit too... ♪"
"DLC_02_0001_A_00_00_024(0)","P","ありがとうございます！
よろしくお願いします！","Thank you very much!"
"DLC_02_0001_A_00_00_025(0)","P","あとは新ユニットに、
どのメンバーを選ぶかだな……","The rest is for new units,
Which member would you choose? ......"
"DLC_02_0001_A_00_00_026(0)","高木","うむ。君がどのようなユニットを結成するのか、
楽しみにしているよ","Mm...what kind of unit will you form?
Looking forward to it."
"DLC_02_0001_A_00_00_027(0)","美咲","頑張ってくださいね、プロデューサーさん。
私も応援してます♪","Good luck to you, producer.
I'm rooting for you too... ♪"
"DLC_02_0001_A_00_00_028(0)",,"数日後――","A few days later--"
"DLC_02_0001_A_00_00_029(0)","P","（急ぎの仕事が一段落したから、
新ユニットについて考えるか……）","(Because I have finished my urgent work,
(Think about the new unit or ......)"
"DLC_02_0001_A_00_00_030(0)","美咲","プロデューサーさん、お疲れさまです。
新ユニットのメンバーは決まりましたか？","Thanks for your help, producer.
Have you decided on the members of the new unit?"
"DLC_02_0001_A_00_00_031(0)","P","メンバーの候補は大体決まりました。
あとはユニットのテーマを作らないと……","Candidates for members have largely been decided.
Now we need to create a theme for the unit: ......"
