"id","character","source","translatedstr"
"DLC_03_0001_A_00_00_001(0)","P","（ルミナスが解散し、アイドルたちは、
それぞれの事務所の活動に戻っていた。そんな中……）","(Luminous broke up, and idols,
They were back to the activities of their respective offices. ......)"
"DLC_03_0001_A_00_00_002(0)","美希","あふぅ……お腹いっぱい……。
ミキ、もう食べられないの……","Ahhhh ...... I'm so hungry .......
Miki, I can't eat anymore: ......"
"DLC_03_0001_A_00_00_003(0)","翼","美希先輩、起きてくださ～い！
プロデューサーさん、来ちゃいましたよ！","Miki-senpai, please wake up~!
Producers, we're here!"
"DLC_03_0001_A_00_00_004(0)","P","相変わらずだな、美希。
話があるから一度起きてくれ","As usual, Miki.
I need to talk to you. Wake up once."
"DLC_03_0001_A_00_00_005(0)","美希","はーい……あふぅ……。ねえ、プロデューサー。
なんでミキたち呼ばれたの？","Yes ......Ah....... Hey, producer.
Why did they call Miki and the others?"
"DLC_03_0001_A_00_00_006(0)","美希","ミキに雪歩、やよいと亜美と真美でしょ？
それから～……","Miki, Yukiho, Yayoi, Ami and Mami, right?
Then ~......"
"DLC_03_0001_A_00_00_007(0)","翼","はいはーい！
わたしと歌織さんもいますよ♪","Yes, yes, yes!
Me and Utori are here too..."
"DLC_03_0001_A_00_00_008(0)","きらり","びしぃっ☆
きらりと美嘉ちゃんもいるよぉ～☆","☆ Shh!
Kirari and Mika are there too!"
"DLC_03_0001_A_00_00_009(0)","果穂","はい！　あたしと摩美々さん、
はづきさんもいますっ！","Yes! Me and Mamisa,
Hazuki is there, too!"
"DLC_03_0001_A_00_00_010(0)","亜夜","あたしと心白もいるわ。
不思議なメンバーね","I'll be there, and so will Kohaku.
You're a curious member."
"DLC_03_0001_A_00_00_011(0)","P","ああ、そうだな。
みんなに集まってもらったのは、他でもない","Oh, yes.
What brought us all together was none other than"
"DLC_03_0001_A_00_00_012(0)","P","このメンバーで、
ミュージカルを行うことが決まったんだ！","This member,
We've decided to do a musical!"
"DLC_03_0001_A_00_00_013(0)","雪歩","ええっ、ミュージカルですか！？
そ、そんな、いきなり……","What, a musical?
Oh, no, suddenly ......"
"DLC_03_0001_A_00_00_015(0)","P","驚くのも無理はない。ずっと水面下で企画が
動いていて、ようやく準備が整ったんだ","It's no wonder I'm surprised; the project has been in the works for a long time.
It's moving, and it's finally ready to go."
"DLC_03_0001_A_00_00_014(0)","歌織","またみんなでお仕事できたら……と
思っていたので、実現して嬉しいです","If we can all work together again, please contact ...... and
I've been thinking about it and I'm glad it's happening!"
"DLC_03_0001_A_00_00_016(0)","やよい","うっうー！　みんなでお芝居なんて、
とっても楽しそうです！","Wooooo! I can't believe we are all in a play together,
It looks like a lot of fun!"
"DLC_03_0001_A_00_00_017(0)","果穂","はいっ！　今からドキドキしちゃってます……！","Yes! I'm so excited now. ......"
"DLC_03_0001_A_00_00_018(0)","果穂","ミュージカルって、おしばいだけじゃなくて
歌ったりおどったりもするんですよね？","Musicals aren't just for push-ups.
You also sing and dance, don't you?"
"DLC_03_0001_A_00_00_019(0)","歌織","そうよ、果穂ちゃん。歌ったり踊ったりしながら、
物語が進んでいくの","Yes, Kaho, singing and dancing,
The story goes on."
"DLC_03_0001_A_00_00_020(0)","きらり","うぇへへ♪　キラキラなステージにして、
きらりたちもお客さんもみ～んなハピハピだにぃ☆","Wohehehe♪ Make it a sparkling stage,
Kirari and the customers are all happy!"
"DLC_03_0001_A_00_00_021(0)","美嘉","イイじゃん！　みんなで力を合わせて、
サイッコーのミュージカルにしようね★","That's good! We all have to work together,
Let's make it a great musical!"
"DLC_03_0001_A_00_00_022(0)","美嘉","ところで、プロデューサー。
なんでこのメンバーなの？","By the way, producer.
Why this member?"
"DLC_03_0001_A_00_00_023(0)","P","ルミナスのように、各事務所のアイドルを集めて
ミュージカルができないかって相談が来たんだ","Like Luminous, gather idols from each office.
They asked me if we could do a musical."
"DLC_03_0001_A_00_00_024(0)","P","そこで、ルミナスのメンバーを中心に、
チャレンジしてほしいメンバーに集まってもらった","So, we focus on the members of Luminous,
We had a group of members who wanted to take on the challenge."
"DLC_03_0001_A_00_00_025(0)","はづき","摩美々さんは天井社長が是非メンバーに
入れてほしいと、高木社長に打診したんですよ～","Mamima, Manager Tomei would love to have you as a member.
I approached Manager Takagi and asked her to include it."
"DLC_03_0001_A_00_00_026(0)","はづき","社長も期待しているって言ってました～","The president said she's looking forward to it!"
"DLC_03_0001_A_00_00_027(0)","摩美々","えー？
期待されてもー、困るんですケドー","Eh?
I don't know what to expect, but I don't like it."
"DLC_03_0001_A_00_00_028(0)","P","心白と亜夜は、高木社長が話を持ちかけて、
実現したんだ","Kohaku and Aya were approached by Manager Takagi,
We made it happen."
"DLC_03_0001_A_00_00_029(0)","亜夜","ふぅん、そういうことね。
選ばれたからには、全力で挑むわ","Hmm, I see what you mean.
Now that I've been selected, I'm going to give it my all."
"DLC_03_0001_A_00_00_030(0)","心白","ふふふ、またみなさんとステージに立てるなんて、
すっごく嬉しいです！","Hmmm, I can't believe I'm going to be on stage with you all again,
I am very happy!"
"DLC_03_0001_A_00_00_031(0)","雪歩","私も、心白ちゃんと亜夜ちゃんと一緒で、
嬉しいな♪","I'm also with Kohaku and Aya,
Glad to hear it... ♪"
"DLC_03_0001_A_00_00_032(0)","亜夜","あたしだって、その……。
や、やっぱりなんでもないわ！","I'm also a member of that .......
Ya, it's still nothing!"
"DLC_03_0001_A_00_00_033(0)","亜美","ねえ、真美。ミュージカルって、いろんなのが
てんこ盛りで、やりごたえありそうだね！","Hey, Mami, musicals come in all shapes and sizes.
It's a lot of things to do, and it looks challenging!"
"DLC_03_0001_A_00_00_034(0)","真美","ダイハンジョーでオオバンフルマイで
お買い得って感じだよね！　めっちゃ楽しそうっ！","Daihanjo de Oban Furumai de
Sounds like a great deal!"
"DLC_03_0001_A_00_00_035(0)","真美","あーあーあ～～～。
えー、コホン……","Ahhhhhhhhhhhh...."
"DLC_03_0001_A_00_00_036(0)","真美","ら～らら～♪　世界をコントンにおとしいれる
大魔王兄ちゃ～ん♪","
Daimaou siblings~!"
"DLC_03_0001_A_00_00_037(0)","亜美","勇者亜美と真美は大魔王兄ちゃんを倒すべく～、
立ち上が～る～♪","Ami and Mami, the heroes, are determined to defeat their brother, the Great Demon King,
Rise up~♪"
"#DLC_03_0001_A_00_00_038(0)","亜美＆真美","勇者の仲間は、ダイケンジャきらりん～♪","The companion of the brave is Daikenja Kirarin~♪"
"#DLC_03_0001_A_00_00_039(0)","","勇者の仲間は、ダイケンジャきらりん～♪","The companion of the brave is Daikenja Kirarin~♪"
"DLC_03_0001_A_00_00_038(0)","亜美・真美","勇者の仲間は、ダイケンジャきらりん～♪","The companion of the brave is Daikenja Kirarin~♪"
"DLC_03_0001_A_00_00_040(0)","きらり","きらりのキラキラはぴはぴパワーで～、
ゆーしゃと一緒に大魔王に立ち向かうにぃ～♪","With Kirari's sparkling hapi-happi power~,
I'm going to stand up to the Daimaou together with Yusha...."
"DLC_03_0001_A_00_00_041(0)","P","いや、そういう内容じゃないからな？
きらりもふたりに乗らなくていいぞ","No, that's not what this is about, okay?
You don't have to ride both of them, either."
"DLC_03_0001_A_00_00_042(0)","翼","ねえねえ、プロデューサーさん。
そのミュージカルってどんなお話なんですか～？","Hey, hey, hey, producer.
What is the story of that musical~?"
"DLC_03_0001_A_00_00_043(0)","P","ああ、簡単なあらすじになるが……","Yeah, it's a brief synopsis: ......"
"DLC_03_0001_A_00_00_044(0)","P","お姫様が大切な夢を忘れてしまう魔法をかけられ、
心が揺れ動かなくなってしまう","A princess is enchanted to forget her precious dreams,
The mind becomes unhinged."
"DLC_03_0001_A_00_00_045(0)","P","そんなお姫様の夢を取り戻すために、
様々なショーが行われるんだ","To bring back the dream of such a princess,
There's a variety of shows going on."
"DLC_03_0001_A_00_00_046(0)","摩美々","……そのショーを、
歌と踊りでやるってことですかぁ？","...... that show,
You mean you're going to do it with singing and dancing?"
"DLC_03_0001_A_00_00_047(0)","P","ああ、そうだ。それからこのメンバーで期間限定の
ユニットも組むぞ。ユニット名は――","Oh, yes, and then we'll have this member for a limited time.
We'll form a unit, and the name of the unit will be--"
"DLC_03_0001_A_00_00_048(0)","はづき","『ルミナス・ジャッロ』です。
ジャッロはイタリア語で黄色って意味なんですよ～","The ""Luminous Jarro"".
Jallo means yellow in Italian!"
"DLC_03_0001_A_00_00_049(0)","はづき","明るくて楽しい、太陽みたいなユニットになればと
願ってつけられたんです～","We hope to become a bright and fun unit like the sun.
It was put there in the hope that it would be a good thing."
"DLC_03_0001_A_00_00_050(0)","翼","えー、すっごくいいですね～！
これでモテモテになっちゃうかも。えへへ♪","Eh, that's soooo nice!
Maybe this will make me irresistible."
"DLC_03_0001_A_00_00_051(0)","P","（いいところを持っていかれた！？
七草さんって意外とおちゃめな人だよな……）","(They took the good part!
(Nanakusa-san is a surprisingly funny girl. ......)"
"DLC_03_0001_A_00_00_052(0)","P","（さて、気を取り直して……説明も終わったし、
意気込みを聞いてみるか。誰に声をかけよう？）","(Now that I'm back on track, I'm done explaining ......,
(Let's hear some enthusiasm...who shall I call on?)"
"DLC_03_0001_A_00_00_053(0)","選択肢","摩美々","as beautiful as a flower"
"DLC_03_0001_A_00_00_054(0)","選択肢","美希","Miki"
"DLC_03_0001_A_00_00_055(0)","選択肢","やよい","Yayoi"
"DLC_03_0001_A_00_00_056(0)","選択肢","雪歩","Yukiho"
"DLC_03_0001_A_00_00_057(0)","選択肢","亜美","Ami"
"DLC_03_0001_A_00_00_058(0)","選択肢","真美","Mami"
"DLC_03_0001_A_00_00_059(0)","選択肢","翼","Tsubasa"
"DLC_03_0001_A_00_00_060(0)","選択肢","歌織","Kaori"
"DLC_03_0001_A_00_00_061(0)","選択肢","美嘉","Mika"
"DLC_03_0001_A_00_00_062(0)","選択肢","きらり","Kirari"
"DLC_03_0001_A_00_00_063(0)","選択肢","果穂","Kaho"
"DLC_03_0001_A_00_00_064(0)","選択肢","心白","Kohaku"
"DLC_03_0001_A_00_00_065(0)","選択肢","亜夜","suburban night"
"DLC_03_0001_A_00_00_066(0)","P","摩美々、自信はどうだ？","Mami, how's your confidence?"
"DLC_03_0001_A_00_00_067(0)","摩美々","……別にー。
レッスンめんどーだなぁってカンジですー","...... separately.
I feel like I'm having a hard time with the lesson."
"DLC_03_0001_A_00_00_068(0)","摩美々","……ふふー。私、悪い子なのでー、
プロデューサーが見張ってないと大変かもですねー","......Hmmm...I'm a bad girl..,
It might be tough if the producer doesn't keep an eye on it!"
"DLC_03_0001_A_00_00_069(0)","P","美希、自信はどうだ？","Miki, how's your confidence?"
"DLC_03_0001_A_00_00_070(0)","美希","うーん、普通ってカンジ？
でも、せっかく選んでくれたんだし……","Hmmm...normal?
But since you picked it out for me, I'll just go to ......"
"DLC_03_0001_A_00_00_071(0)","美希","プロデューサーのために、頑張っちゃおっかな。
あはっ☆","I'll do my best for the producer.
ahaha*"
"DLC_03_0001_A_00_00_072(0)","P","やよい、自信はどうだ？","Yay, how's your confidence?"
"DLC_03_0001_A_00_00_073(0)","やよい","自信ですかー？
はい！　私、メラメラーって燃えてますっ！","Confidence?
Yes! I'm burning up with mela mela mela!"
"DLC_03_0001_A_00_00_074(0)","やよい","だから、いーっぱいレッスンして、
ガンバりますねっ！","So, give me lots of lessons,
I'll do my best!"
"DLC_03_0001_A_00_00_075(0)","P","雪歩、自信はどうだ？","Yukiho, how's your confidence?"
"DLC_03_0001_A_00_00_076(0)","雪歩","じ……自信は……あまりないかもですけど……。
でも、ワクワクもしてて……","I'm not sure if I have much confidence in ......, but I'm sure I can .......
But I'm also excited about ......"
"DLC_03_0001_A_00_00_077(0)","雪歩","わ、私……みんなの足を引っ張らないように、
頑張りますぅ～！","Wow, I ...... don't want to drag everyone down,
I'll do my best!"
"DLC_03_0001_A_00_00_078(0)","P","亜美、自信はどうだ？","Ami, how's your confidence?"
"DLC_03_0001_A_00_00_079(0)","亜美","ふっ……野暮なことを聞く兄ちゃんだぜ。
この亜美を誰だと思っているんだい！？","Huh. ...... I'm a big brother asking a wild question, man.
Who do you think this Ami is!"
"DLC_03_0001_A_00_00_080(0)","亜美","歌って踊ってドッカーンってカンジで、
会場のみんなをあっと驚かせちゃうかんね～！","Singing, dancing, and boom, boom, boom,
I'm going to surprise everyone in the hall!"
"DLC_03_0001_A_00_00_081(0)","P","真美、自信はどうだ？","Mami, how's your confidence?"
"DLC_03_0001_A_00_00_082(0)","真美","んっふっふ～。そんなの当然、あるにきまってるっ
しょ～！　真美は準備万端、バッチリんこだよ～！","Of course there is such a thing!
Mami is all set and ready to go!"
"DLC_03_0001_A_00_00_083(0)","真美","会場をドッカンドッカン沸かせて、
打ち上げ花火にしちゃうよ～☆","The audience went wild with excitement,
I'll make it into a fireworks display!"
"DLC_03_0001_A_00_00_084(0)","P","翼、自信はどうだ？","Tsubasa, how's your confidence?"
"DLC_03_0001_A_00_00_085(0)","翼","自信はありますよ～。
いつも通りにやればいいんですよね？","I am confident!
Just do what you always do, right?"
