"id","character","source","translatedstr"
"Costume_01_04_00_001(0)","Ｐ","みんな、『スプリングナイト』で着る
衣装のサンプルが届いたぞ","Everyone wears it on ""Spring Night"".
I just received a sample of your costume."
"Costume_01_04_00_002(0)","Ｐ","えーっと、誰にサンプルを着てもらおうかな……","Let's see, who should we get to wear the samples: ......"
"Costume_01_04_00_003(0)","選択肢","心白、お願いするよ","Shinbaku, please."
"Costume_01_04_00_004(0)","選択肢","響、頼んだ！","Hibiki, I asked!"
"Costume_01_04_00_005(0)","選択肢","春香、よろしく","Haruka, nice to meet you."
"Costume_01_04_00_006(0)","選択肢","伊織、着てみてくれ","Iori, try it on."
"Costume_01_04_00_007(0)","選択肢","真、着てみないか？","True, why don't you try it on?"
"Costume_01_04_00_008(0)","選択肢","未来、着てみるか？","Future, you want to try it on?"
"Costume_01_04_00_009(0)","選択肢","杏、出番だ","Apricot, you're up."
"Costume_01_04_00_010(0)","選択肢","菜々、任せた","Nana, you got it."
"Costume_01_04_00_011(0)","選択肢","甘奈、頼む","Amana, please."
"Costume_01_04_00_012(0)","選択肢","甜花、着てみるか？","Tenka, do you want to try it on?"
"Costume_01_04_00_013(0)","Ｐ","心白、お願いするよ","Shinbaku, please."
"Costume_01_04_00_014(0)","心白","私ですか？
分かりました、試着してみますね","Is it me?
Okay, I'll try it on."
"Costume_01_04_00_015(0)","心白","衣装を着ると、気が引き締まりますね！
本番のステージが楽しみです","It's a great way to get into the swing of things when you put on a costume!
I'm looking forward to seeing you on stage for the show!"
"Costume_01_04_00_016(0)","Ｐ","気に入ってくれてよかったよ。
本番までに全員分用意しておくからな","I'm glad you liked it.
I'll have enough for everyone before the show."
"Costume_01_04_00_017(0)","Ｐ","響、頼んだ！","Hibiki, I asked!"
"Costume_01_04_00_018(0)","響","もちろん！
プロデューサー、自分に任せてよ","Of course!
Producers, let yourself be the one to do it."
"Costume_01_04_00_019(0)","響","うんうん、すっごくいい衣装だぞ！
動きやすいし、気に入ったさー♪","Yeah, yeah, it's a very nice outfit!
It's easy to move and I like it."
"Costume_01_04_00_020(0)","Ｐ","気に入ってくれてよかったよ。
本番までに全員分用意しておくからな","I'm glad you liked it.
I'll have enough for everyone before the show."
"Costume_01_04_00_021(0)","Ｐ","春香、よろしく","Haruka, nice to meet you."
"Costume_01_04_00_022(0)","春香","はい！　どんな衣装なんだろう……？
さっそく着てみますね♪","Yes! What kind of costume is it ......?
I'll try it on right away... ♪"
"Costume_01_04_00_023(0)","春香","春っぽい色で、カラフルで……かわいい衣装ですね！
実はちょっと着てみたかったので、嬉しいです♪","It's a cute, colorful, ...... outfit in spring-like colors!
I'm actually kind of glad I tried it on... ♪"
