"id","character","source","translatedstr"
"GameOver_01_0000_00_001(0)","高木","プロデューサータスクは、
うまくいかなかったようだね……","Looks like things didn't work out with your 
producer tasks..."
"GameOver_01_0000_00_002(0)","高木","君の実力を買っていたのだが、
今回のプロジェクトは難易度が高かったか……","I really valued your abilities, but this project was
way too difficult..."
"GameOver_01_0000_00_003(0)","高木","残念だが、現時点をもって、
このプロジェクトは凍結するしかあるまい……","I'ts unfortunate, but as of now, I'm afraid we
have no choice but to suspend the project..."
"GameOver_01_0000_00_004(0)","高木","アイドルや関係者には私から謝罪しておこう。
……ひどい顔をしている。君もしっかり休むといい","I'll apologize to the idols and everyone involved. 
...You look awful. You should get some good rest."
"GameOver_02_0000_00_001(0)","高木","ううむ。既定のファン人数に届かなかったか。
『スターリットシーズン』はここまでのようだね","Hmm. Looks like we didn't reach our fan 
benchmarks. Our Starlit Season is over."
"GameOver_02_0000_00_002(0)","高木","ルミナスの挑戦……他事務所との合同ユニットは
やはり簡単ではなかったか……","The challenges of Luminous... A joint unit with 
other agencies really wasn't easy after all..."
"GameOver_02_0000_00_003(0)","高木","残念だが、現時点をもって、
このプロジェクトは解散するしかあるまい……","I'ts unfortunate, but as of now, I'm afraid we
have no choice but to suspend the project..."
"GameOver_02_0000_00_004(0)","高木","アイドルや関係者には私から謝罪しておこう。
……ひどい顔をしている。君もしっかり休むといい","I'll apologize to the idols and everyone involved. 
...You look awful. You should get some good rest."
"GameOver_02_0001_00_001(0)","高木","ううむ。既定のファン人数に届かなかったか。
『スターリットシーズン』はここまでのようだね","Hmm. Looks like we didn't reach our fan 
benchmarks. Our Starlit Season is over."
"GameOver_02_0001_00_002(0)","高木","ルミナスの挑戦……他事務所との合同ユニットは
やはり簡単ではなかったか……","The challenges of Luminous... A joint unit with 
other agencies really wasn't easy after all..."
"GameOver_02_0001_00_003(0)","高木","残念だが、現時点をもって、
このプロジェクトは解散するしかあるまい……","I'ts unfortunate, but as of now, I'm afraid we
have no choice but to suspend the project..."
"GameOver_02_0001_00_004(0)","高木","アイドルや関係者には私から謝罪しておこう。
……ひどい顔をしている。君もしっかり休むといい","I'll apologize to the idols and everyone involved. 
...You look awful. You should get some good rest."
"GameOver_03_0000_00_001(0)","高木","選考ステージが上手くいかなかったようだね。
君には期待していたのだが、残念な結果となった","Looks like the selection stage didn't go well. I had
high hopes for you, but this was disappointing."
"GameOver_03_0000_00_002(0)","高木","『スターリットシーズン』は終了だ……。
本日をもって、ルミナスは解散としよう","The Starlit Season is over for us...
As of today, Luminous will disband."
"GameOver_03_0000_00_003(0)","高木","だが、みんなにとってもいい経験となったと思う。
……もちろん君にもだ","But, I think it was a good experience for everyone.
...And also for you as well."
"GameOver_03_0000_00_004(0)","高木","アイドルや関係者には私から謝罪しておこう。
……ひどい顔をしている。君もしっかり休むといい","I'll apologize to the idols and everyone involved. 
...You look awful. You should get some good rest."
"GameOver_03_0001_00_001(0)","高木","『クリスタルウィンター』、あともう少しだったね。
最優秀ユニットに選ばれなかったが、頑張ったと思う","We almost had the Crystal Winter. We weren't
chosen as the best unit, but everyone tried hard."
"GameOver_03_0001_00_002(0)","高木","『スターリットシーズン』は今日で終了だ
……本日をもって、ルミナスは解散としよう","Our Starlit Season ends today.
...As of today, Luminous will disband."
"GameOver_03_0001_00_003(0)","高木","みんなにとっても、いい経験となったと思う。
君は少し、休みたまえ","I think it was a good experience for everyone.
You should get some good rest."
"GameOver_03_0002_00_001(0)","P","（新しいパフォーマンスは無理なのか……。このまま
『スターリットシーズン』を進んでいけるのか……）","(Can we not put on another performance...? 
Can't we continue through the Starlit Season...?)"
"GameOver_03_0002_00_002(0)","P","（そして…俺の不安は的中した……）","(And so... my anxiety became realized...)"
"GameOver_03_0002_00_003(0)","P","（月末ステージで結果を出せず、
そこで『スターリットシーズン』は終了した）","(We didn't make any results for the monthly 
stage, and so our Starlit Season is over.)"
"GameOver_03_0004_00_001(0)","P","（ディアマントには遠く及ばなかった……。
これでは、共演なんて夢のまた夢だ……）","(We were no match against Diamant... At this
rate, performing together is just a pipedream...)"
