"id","character","source","translatedstr"
"SYS_1001_0022_00(0)","小鳥","続きまして、
今週のプロデューサータスクをお伝えします","Continued,
Here are this week's producer tasks"
"SYS_1001_0003_00(0)","小鳥","今週のプロデューサータスクをお伝えします","Here are this week's producer tasks"
"SYS_1001_0003_01(0)","小鳥","それでは、今週もよろしくお願いします","Well, I wish you all the best for the rest of the week."
"SYS_1001_0021_00(0)","小鳥","週も折り返しです。
プロデューサータスクには気を付けてくださいね","The week is turning around.
Be careful with producer tasks!"
"SYS_1001_0005_00(0)","小鳥","今日はプロデューサータスクの期限日です。
大丈夫ですか？","Today is the due date of the producer task.
Are you okay?"
"SYS_1001_0004_00(0)","小鳥","今月最後のプロデューサータスクをお伝えします","Here is the last producer task of the month!"
"SYS_1001_0004_01(0)","小鳥","もうすぐ月末です。目標ファン人数の
締切が近いので、気を付けてくださいね","It's almost the end of the month, and we have a target number of fans.
The deadline is near, so please be careful!"
"SYS_1001_0006_00(0)","小鳥","今日はファン人数の期限日です。
ご注意ください","Today is the deadline day for the number of fans.
Please note"
"SYS_1002_0022_00(0)","美咲","次は、今週のプロデューサータスクです！","Next up is this week's producer task!"
"SYS_1002_0003_00(0)","美咲","今週のプロデューサータスクです！","This week's producer task!"
"SYS_1002_0003_01(0)","美咲","今週も頑張っていきましょう！","Let's keep up the good work this week!"
"SYS_1002_0021_00(0)","美咲","週も、半分がすぎました。
プロデューサータスクは大丈夫ですか？","The week is now half over.
Is the producer task ok?"
"SYS_1002_0005_00(0)","美咲","今日はプロデューサータスクの期限日ですっ！
あの、大丈夫ですよね？","Today is the due date of the producer task!
Um, it's okay, right?"
"SYS_1002_0004_00(0)","美咲","今月最後のプロデューサータスクは、こちらです！","Here is the last producer task for this month!"
"SYS_1002_0004_01(0)","美咲","目標のファン人数の期日が、いよいよ迫ってきました。
ドキドキするよ～……。あの、気を付けてくださいね！","The deadline for the target number of fans is fast approaching.
I'm thrilled~ ....... Um, please be careful!"
"SYS_1002_0006_00(0)","美咲","今日はファン人数の期限日です。
注意してくださいね","Today is the deadline day for the number of fans.
Caution."
"SYS_1003_0022_00(0)","ちひろ","続いては、
今週のプロデューサータスクになります","Followed by,
This will be this week's producer task"
"SYS_1003_0003_00(0)","ちひろ","では、プロデューサータスクをお伝えいたします","Now, let me tell you about the producer task"
"SYS_1003_0003_01(0)","ちひろ","みんな期待していますよ。
頑張ってくださいね！","Everyone is looking forward to it.
Good luck!"
"SYS_1003_0021_00(0)","ちひろ","週も、半ばとなりました。
プロデューサータスクにはお気を付けてください","It is now the middle of the week.
Please be careful with producer tasks!"
"SYS_1003_0005_00(0)","ちひろ","今日はプロデューサータスクの期限日です。
注意してくださいね","Today is the due date of the producer task.
Caution."
"SYS_1003_0004_00(0)","ちひろ","それでは、
今月最後のプロデューサータスクをお伝えいたします","See you then,
We are pleased to share with you the last producer task of the month!"
"SYS_1003_0004_01(0)","ちひろ","月末が近いので、目標ファン人数も意識して
プロデュースをしていくことをお勧めします","The end of the month is near, so be aware of the number of target fans.
We recommend that you produce"
"SYS_1003_0006_00(0)","ちひろ","今日はファン人数の期限日です。
お忘れなく！","Today is the deadline day for the number of fans.
Don't forget!"
"SYS_1004_0022_00(0)","はづき","次は、今週のプロデューサータスクですよ～","Next up is this week's producer task~!"
"SYS_1004_0003_00(0)","はづき","今週のプロデューサータスクはこちらです～","Here is this week's producer task~!"
"SYS_1004_0003_01(0)","はづき","プロデューサーさん、無理しすぎないでくださいね～","Producers, please don't overdo it!"
"SYS_1004_0021_00(0)","はづき","今週も、半分が過ぎましたね。
プロデューサータスクにはご注意ください～","This week, we are halfway through.
Please be careful with the producer task~."
"SYS_1004_0005_00(0)","はづき","今日はプロデューサータスクの期限日です。
見落としが無いよう、ご注意ください～","Today is the due date of the producer task.
Please be careful not to miss anything."
"SYS_1004_0004_00(0)","はづき","今月最後のプロデューサータスクになります～","This will be the last producer task of the month~."
"SYS_1004_0004_01(0)","はづき","そろそろ目標のファン人数の期限ですね。
プロデューサーさんなら大丈夫だと信じています～","It's almost time for the target number of fans to be due.
I believe you will be fine, Producer-san."
"SYS_1004_0006_00(0)","はづき","今日はファン人数の期限日ですね。
なんだか私も緊張してきちゃいました～","Today is the deadline day for the number of fans.
I was getting kind of nervous too!"
"SYS_1001_0016_00(0)","小鳥","今日の活動結果はどうでしたか？
プロデューサータスクの進捗を確認しましょう！","What were the results of today's activities?
Check the progress of the producer task!"
"SYS_1001_0018_00(0)","小鳥","今日の進捗はこちらです！","Here is today's progress!"
"SYS_1001_0017_00(0)","小鳥","進捗確認は以上です。
プロデューサーさん、お疲れ様でした！","That's all for the progress check.
Thank you for your hard work, producer!"
"SYS_1001_0007_00(0)","小鳥","今週のプロデューサータスクはどうですか？
無事達成しているか、確認しましょう！","How about this week's producer task?
Make sure you have achieved it successfully!"
"SYS_1001_0019_00(0)","小鳥","今週の結果はこちらです！","Here are this week's results!"
"SYS_1001_0008_00(0)","小鳥","おめでとうございます！　目標達成です！
プロデューサーさん、流石ですね♪","Congratulations, you have achieved your goal!
Producers, you're a stone... ♪"
"SYS_1001_0011_00(0)","小鳥","今日はファン人数の期限日ですね。
それでは結果を見てみましょう！","Today is the deadline day for the number of fans.
Let's take a look at the results!"
"SYS_1001_0020_00(0)","小鳥","今月の結果はこちらです！","Here are this month's results!"
"SYS_1001_0012_00(0)","小鳥","目標人数をしっかり超えています！
今月のプロデュースも、大成功ですね！","We are well over our target number of participants!
This month's production is also a great success!"
"SYS_1002_0016_00(0)","美咲","今日の活動結果、いかがでしたか？
プロデューサータスクの進捗を確認しましょう！","How were the results of today's activities?
Check the progress of the producer task!"
"SYS_1002_0018_00(0)","美咲","今日の進捗はこちらになります！","Here is today's progress!"
"SYS_1002_0017_00(0)","美咲","進捗確認は以上です！
プロデューサーさん、今日もお疲れ様でした♪","That's all for the progress check!
Thanks again for your hard work today, producer... ♪"
"SYS_1002_0007_00(0)","美咲","今日はプロデューサータスクの期限日ですよ！
ちゃんと達成できたかどうか、確認しましょう！","Today is the due date for the producer task!
Make sure you have achieved it properly!"
"SYS_1002_0019_00(0)","美咲","今週の結果はこちらになります！","Here are the results for this week!"
"SYS_1002_0008_00(0)","美咲","なんとっ！　プロデューサータスク達成です！
さすがプロデューサーさんですね！","What a surprise! The producer task has been accomplished!
You are indeed a producer!"
"SYS_1002_0011_00(0)","美咲","今日はファン人数の期限日です！
う～ん……大丈夫かなぁ……","Today is the deadline day for the number of fans!
Hmmm ...... I wonder if it's ok ......"
"SYS_1002_0020_00(0)","美咲","今月の結果はこちらになります！","Here are the results for this month!"
"SYS_1002_0012_00(0)","美咲","すごい、無事達成ですね！
えへへ、私まで嬉しくなっちゃいます♪","Wow, that's a safe accomplishment!
Hehehe, it makes me happy too!"
"SYS_1003_0016_00(0)","ちひろ","今日の活動結果はいかがでしたか？
プロデューサータスクの進捗を確認しましょう","What were the results of today's activities?
Check the progress of your producer tasks!"
"SYS_1003_0018_00(0)","ちひろ","本日の進捗を報告しますね！","I will report on today's progress!"
"SYS_1003_0017_00(0)","ちひろ","進捗確認は以上です。
プロデューサーさん、本日もお疲れ様でした","That's all for the progress check.
Thank you, producers, for all your hard work today!"
"SYS_1003_0007_00(0)","ちひろ","プロデューサーさん、今週もお疲れ様でした。
目標達成できているか、確認していきましょう","Thank you, producers, for all your hard work this week.
Let's make sure we are achieving our goals!"
"SYS_1003_0019_00(0)","ちひろ","では、今週の結果報告となります","Here is the report of this week's results"
"SYS_1003_0008_00(0)","ちひろ","見事、目標達成しましたね！
この調子で次週もよろしくお願いします♪","Well done, you have achieved your goal!
Keep up the good work and see you next week... ♪"
"SYS_1003_0011_00(0)","ちひろ","ファン人数の達成期日となりました！
それでは、達成状況を確認しましょう！","The date was set for the number of fans to be achieved!
Now let's see what we have accomplished!"
"SYS_1003_0020_00(0)","ちひろ","それでは、今月の結果を報告します","Now I will report the results for this month."
"SYS_1003_0012_00(0)","ちひろ","目標の人数を無事達成出来ましたね！
的確なプロデュース、お疲れ様でした♪","You have successfully achieved your target number of people!
Thank you for your hard work and precise production.................."
"SYS_1004_0016_00(0)","はづき","今日の活動結果はどうでしたか？
プロデューサータスクの進捗を確認しましょう～","What were the results of today's activities?
Check the progress of the producer task~."
"SYS_1004_0018_00(0)","はづき","本日の進捗を報告しますね～","I'll report on today's progress~!"
"SYS_1004_0017_00(0)","はづき","進捗確認は以上です。
プロデューサーさん、今日もお疲れ様でした♪","That's all for the progress check.
Thanks again for your hard work today, producer... ♪"
"SYS_1004_0007_00(0)","はづき","今週のプロデューサータスク、いかがでしたか？
それでは、一緒に確認しましょう～","How was this week's producer task?
So let's check it out together~."
"SYS_1004_0019_00(0)","はづき","今週の結果はこちらになります～","Here are this week's results~."
"SYS_1004_0008_00(0)","はづき","目標達成です～
おめでとうございます、プロデューサーさん♪","We've achieved our goal!
Congratulations, producer... ♪"
"SYS_1004_0011_00(0)","はづき","今日はファン人数の期限日です。
達成できているかどうか、見てみましょう～","Today is the deadline day for the number of fans.
Let's see if we're accomplishing this - and let's see if we are."
"SYS_1004_0020_00(0)","はづき","今月の結果を報告させていただきます～","I am pleased to report this month's results~."
"SYS_1004_0012_00(0)","はづき","無事目標達成です♪
プロデューサーさん、今月もお疲れさまでした～","We have successfully achieved our goal.
Thank you, producers, for all your hard work this month!"
"SYS_1001_0014_00(0)","小鳥","プロデューサーさん、お店の方から
オーダーしていた、新しい衣装が届いてますよ！","Producer, from the store.
You have received the new costumes that you ordered!"
"SYS_1002_0014_00(0)","美咲","プロデューサーさん、オーダーしていた衣装が
事務所に届きました！　素敵な衣装ですね、えへへ","Producer, the outfit you ordered.
It arrived at my office! Lovely outfit, ehehe!"
"SYS_1003_0014_00(0)","ちひろ","プロデューサーさん、オーダーしていた衣装が
届きました。みんなに着てもらうのが楽しみですね","Producer, the outfit you ordered.
I just received it and can't wait for everyone to wear it!"
"SYS_1004_0014_00(0)","はづき","プロデューサーさん、新しい衣装が届きました。
みなさんの衣装姿、今から楽しみですね～","Producers, your new outfits have arrived.
I'm looking forward to seeing you all in your costumes!"
"CM_Tutorial_02_0000_00_001(0)","","プルルルル……プルルルル……プルルルル……ピ","Pullulu......Pullulu......Pullulu......Pullulu......Pullulu......Pullulu......Pullulu......Pullulu......Pullulu......Pullulu......"
"CM_Tutorial_02_0000_00_002(0)","小鳥","もしもし、プロデューサーさん。
今どこにいますか？","Hello, producer.
Where are you now?"
"CM_Tutorial_02_0000_00_003(0)","P","ちょうど休憩していたところです。
何かありましたか？","We were just taking a break.
What is it?"
"CM_Tutorial_02_0000_00_004(0)","小鳥","トレーナーの『北江輝也』さんという方から
連絡があって、今から会えないか、とのことです","From a trainer named ""Teruya Kitae"".
She contacted me and asked if we could meet now."
"CM_Tutorial_02_0000_00_005(0)","P","北江輝也さん、ですね？","Teruya Kitae, right?"
"CM_Tutorial_02_0000_00_006(0)","小鳥","はい。私も詳しい事は知らないのですが、効率よく
アイドルのレッスンをすることで有名だったとか","Yes, I don't know all the details either, but I'm sure it's efficient.
I hear they were famous for giving lessons to idols."
"CM_Tutorial_02_0000_00_007(0)","小鳥","なんでも、『伝説のレッスンメニュー』というのが
あるって話も……","Everything is called ""The Legendary Lesson Menu"".
Some say there is. ......"
"CM_Tutorial_02_0000_00_008(0)","P","わかりました。今から向かいますので、
どこに行けばいいか、教えてくれますか？","Okay, I'm on my way,
Can you tell me where to go?"
"CM_Tutorial_02_0000_00_009(0)","P","（音無さんから詳しい場所を聞いた。早速向かおう）","(Otonashi-san gave me the detailed location, let's head there right away.)"
"CM_Tutorial_02_0002_00_001(0)","","プルルルル……プルルルル……プルルルル……ピ","Pullulu......Pullulu......Pullulu......Pullulu......Pullulu......Pullulu......Pullulu......Pullulu......Pullulu......Pullulu......"
"CM_Tutorial_02_0002_00_002(0)","小鳥","もしもし、プロデューサーさん。
今どこにいますか？","Hello, producer.
Where are you now?"
"CM_Tutorial_02_0002_00_003(0)","P","今から事務所に戻ろうとしていたところです","I was just about to head back to the office now."
