"id","character","source","translatedstr"
"spworkchr_0112_A_01_00_001(0)","Ｐ","（あずささんにトーク番組の仕事をとってきた。
今日はいよいよ収録日だ！）","(I got Azusa a job on a talk show.
Today's the day of the recording!)"
"spworkchr_0112_A_01_00_002(0)","Ｐ","もうすぐ本番ですが、調子はどうですか？","The show is about to start, how are you doing?"
"spworkchr_0112_A_01_00_003(0)","あずさ","司会の方とは、一緒にお仕事をしたことがあるので、
あまり緊張せずに済みそうです","I have worked with the moderator,
I don't think I'll be too nervous."
"spworkchr_0112_A_01_00_004(0)","Ｐ","それはよかったです。
あずささん、台本確認は出来ていますか？","That was good.
Azusa-san, have you confirmed the script?"
"spworkchr_0112_A_01_00_005(0)","あずさ","はい、台本に変更があるとスタッフさんが
おっしゃっていたので、今、確認をしようかと……","Yes, if there is a change in the script, the staff
Since you mentioned it, I thought I would check now: ......"
"spworkchr_0112_A_01_00_006(0)","あずさ","大幅な変更はないみたいですが……あら？
恋愛話のトークが追加になっていますね","It doesn't look like there are any significant changes. ...... Oh?
You've added a talk about love stories."
"spworkchr_0112_A_01_00_007(0)","あずさ","私の恋愛観ですか～。
いったい何を話せばいいんでしょうか？","Is it my view of love~?
What on earth am I supposed to talk about?"
"spworkchr_0112_A_01_00_008(0)","Ｐ","（ここは慎重に行きたいところだが……）","(I'd like to be cautious here. ......)"
"spworkchr_0112_A_01_00_009(0)","選択肢","運命の人について","About the Fateful One"
"spworkchr_0112_A_01_00_010(0)","選択肢","初恋の人について","About my first love"
"spworkchr_0112_A_01_00_011(0)","Ｐ","運命の人について話してみたらどうですか？","Why don't you talk about your destiny?"
"spworkchr_0112_A_01_00_012(0)","あずさ","運命の人、ですか？
……みんなの前で話していいのかしら","Destiny, is it?
I wonder if I can talk about this in front of everyone at ......"
"spworkchr_0112_A_01_00_013(0)","あずさ","私はまだ、迷ってばかりだし
上手く伝えられるかどうか……","And I'm still so lost.
I don't know if I can communicate it well: ......"
"spworkchr_0112_A_01_00_014(0)","Ｐ","無理をして上手く伝える必要はありません。
あずささんの思うままに話せばいいんです","There is no need to force yourself to communicate well.
You can talk as you wish, Azusa-san."
"spworkchr_0112_A_01_00_015(0)","Ｐ","あずささんの素直な心に触れれば、見ている人も
きっと、何かを感じ取ってくれるはずですから","If you touch the honest heart of Azusa-san, you will be able to see
I am sure you will feel something."
"spworkchr_0112_A_01_00_016(0)","あずさ","……わかりました。
私なりの言葉で伝えたいと思います","I understand .......
I would like to tell you in my own words"
"spworkchr_0112_A_01_00_017(0)","あずさ","だから……プロデューサーさん、
最後まで見ていてくれますか？","So ...... producer,
Will you watch me until the end?"
"spworkchr_0112_A_01_00_018(0)","Ｐ","もちろんです。
収録が終わるまで、ちゃんと見ていますよ","Of course.
I'll be watching you right up until the end of the recording."
"spworkchr_0112_A_01_00_019(0)","Ｐ","初恋の人については、どうですか？","What about your first love?"
"spworkchr_0112_A_01_00_020(0)","あずさ","え……は、初恋、ですか？
それはちょっと……","Eh ...... is your first love, right?
That's a little ......"
"spworkchr_0112_A_01_00_021(0)","Ｐ","初恋は誰しも経験があるものですし、
何より初恋トークは盛り上がりますから！","And everyone has experienced their first love,
Above all, first love talk is a lot of fun!"
"spworkchr_0112_A_01_00_022(0)","あずさ","うーん……初恋、初恋……。難しいテーマですけど
みなさんが楽しんでくれるのでしたら……","Hmmm ...... first love, first love ....... It's a difficult subject, but...
If you all enjoy it, please visit ......"
"spworkchr_0112_A_01_00_023(0)","あずさ","なんとか頑張ってみますね","I'll try to do my best somehow."
"spworkchr_0112_A_01_00_024(0)","Ｐ","（運命の人を探すというあずささんの恋愛観は、
多くの人の共感を呼んだ。この仕事は成功だ！）","(What is your view of love, Azusa-san, in terms of searching for your destiny?
(It struck a chord with a lot of people; this job is a success!)"
"spworkchr_0112_A_01_00_025(0)","Ｐ","（あずささんが照れすぎて、上手くトークできずに
終わってしまった。……俺のチョイスミスだ）","(Azusa-san was too shy to talk well.
(It's over. ...... my bad choice)"
"Idolchr_0112_B_20_01_001(0)","Ｐ","（事務所に行くと、どこか困っている様子で、
ため息をついているあずささんがいた）","(When I went to the office, he seemed somewhat troubled,
(There was Azusa, sighing)"
"Idolchr_0112_B_20_01_002(0)","Ｐ","あずささん、どうかしたんですか？","Azusa-san, what's wrong?"
"Idolchr_0112_B_20_01_003(0)","あずさ","それが……恥ずかしながら、
新しい事務所にまだ慣れてなくて……","That's what ...... is ashamed of,
I'm still getting used to my new office: ......"
"Idolchr_0112_B_20_01_004(0)","あずさ","来る途中で、また迷子になってしまいました～。
プロデューサーさん、どうしたらいいでしょう？","On the way here, I got lost again!
What should I do, Producer-san?"
"Idolchr_0112_B_20_01_005(0)","Ｐ","それなら……","Then ......"
"Idolchr_0112_B_20_01_006(0)","選択肢","一緒に行きますよ","I'll go with you."
"Idolchr_0112_B_20_01_007(0)","選択肢","電話してください","Call me."
"Idolchr_0112_B_20_01_008(0)","選択肢","自力で頑張って","Good luck on your own."
"Idolchr_0112_B_20_01_009(0)","Ｐ","迷子になりそうな時は、俺が一緒に行きますよ","If you feel lost, I'll go with you."
"Idolchr_0112_B_20_01_010(0)","あずさ","ふふ、ありがとうございます♪
プロデューサーさんは、優しいですね～","Hmmm, thank you... ♪
Your producer is so kind!"
"Idolchr_0112_B_20_01_011(0)","Ｐ","困ったことがあれば、俺に電話してください。
すぐに駆け付けますから","If you need help, call me.
I'll be right there."
"Idolchr_0112_B_20_01_012(0)","あずさ","それなら安心して迷子になれますね～。
……ふふ、なんて冗談です♪","Then I can get lost in peace!
...... Hmmm, what a joke... ♪"
"Idolchr_0112_B_20_01_013(0)","Ｐ","あずささんなら、きっと大丈夫です。
自力で頑張ってください！","I am sure Azusa-san will be fine.
Good luck on your own!"
"Idolchr_0112_B_20_01_014(0)","あずさ","それができないから困っていたのですが……。
できればプロデューサーさんに頼りたいですけど……","I was having trouble because I can't do that. ......
I'd like to rely on the producer if possible, though: ......"
"Idolchr_0112_B_20_01_015(0)","あずさ","でも、プロデューサーさんに
あまり迷惑もかけられませんし……","But I'd like to tell the producer...
I can't be too much trouble. ......"
"Idolchr_0112_B_20_01_016(0)","Ｐ","いえ、俺の負担が増えるのは問題ないので、
無理をせず、どんどん頼ってください","No, I don't have a problem with the added burden on me,
Take it easy and rely on us more and more!"
"Idolchr_0112_B_20_01_017(0)","あずさ","ありがとうございます～。
その時は、よろしくお願いしますね","Thank you~.
I look forward to working with you then."
"Idolchr_0112_B_20_02_001(0)","Ｐ","（事務所であずささんとテレビを見ていたら、
教育番組が始まった）","(I was in the office watching TV with Azusa,
(Educational programming began)"
"Idolchr_0112_B_20_02_002(0)","あずさ","ふふ、みんな笑顔で楽しそう。
こういう子どもたちと触れ合う仕事もいいですよね","Phew, everyone looks happy and smiling.
It's nice to have a job like this where you get to interact with children."
"Idolchr_0112_B_20_02_003(0)","あずさ","もし私がアイドルをやっていなかったら、
保育士さんになっていたかもしれません～","If I had not been an idol,
I would have been a nursery school teacher!"
"Idolchr_0112_B_20_02_004(0)","Ｐ","あずささんが保育士さん、ですか。
それは……","Azusa-san is a nursery school teacher, right?"
