"id","character","source","translatedstr"
"Idolchr_0110_A_01_00_001(0)","Ｐ","お疲れ様、伊織。
ルミナスの活躍、順調みたいだな","Good job, Iori.
Luminous activity, looks like it's going well."
"Idolchr_0110_A_01_00_002(0)","Ｐ","伊織の豊富なアイドル経験は、
ルミナスみんなのためにもなる。これから頼むぞ！","Iori's extensive idol experience is,
Luminous, it's for everyone's benefit, please do us all a favor from now on!"
"Idolchr_0110_A_01_00_003(0)","伊織","ま、このスーパーアイドル伊織ちゃんにかかれば、
アンタの期待に応えるくらいワケないわ。けど……","Well, if it's up to this super idol Iori,
I don't know if I'll ever live up to your expectations, but I'm sure I will. ......"
"Idolchr_0110_A_01_00_004(0)","Ｐ","『けど』？
どうしたんだ、伊織？","But""?
What's wrong, Iori?"
"Idolchr_0110_A_01_00_005(0)","伊織","ルミナスって、いろんな事務所から個性的な子が
たくさん集まっているじゃない？","Luminous is a place where unique girls from various offices
There are a lot of people here, aren't there?"
"Idolchr_0110_A_01_00_006(0)","伊織","アンタ、その……
結構、大変なんじゃないの？","Anta, that ......
Isn't it quite a lot of work?"
"Idolchr_0110_A_01_00_007(0)","Ｐ","大変だろうけど、
その分、やりがいのあるプロジェクトだからね","I know it will be hard,
That's what makes it such a rewarding project."
"Idolchr_0110_A_01_00_008(0)","Ｐ","研修で得たノウハウを、
ルミナスの活動の中で活躍させたい","The know-how gained from the training,
I want them to be active in Luminous activities."
"Idolchr_0110_A_01_00_009(0)","伊織","ふ～ん、なるほどね。
アンタなりに頑張ってきたみたいじゃない","Hmmm, I see.
It looks like you've been working hard in your own way."
"Idolchr_0110_A_01_00_010(0)","Ｐ","伊織のほうが、俺がいない間に
ますます磨きがかかった気がするけど","Iori is the one who, while I was gone...
I feel like I'm getting more and more polished."
"Idolchr_0110_A_01_00_011(0)","伊織","気がするじゃなくて、磨きがかかってるの！
ほんと、私の可能性って限界がなくて困るわ～♪","I don't feel like it, it's polished!
I really don't have any limits to my potential!"
"Idolchr_0110_A_01_00_012(0)","伊織","って、そうじゃなくて！
いまはアンタの話をしているのよ！","And that's not what I mean!
Now we are talking about you!"
"Idolchr_0110_A_01_00_013(0)","伊織","これまでのアンタの働きっぷりを見てきたけど、
なんていうか……気になるのよ！","I've seen how hard you've worked so far,
What can I say, I'm curious about ......!"
"Idolchr_0110_A_01_00_014(0)","伊織","『スターリットシーズン』を、みんなで目指す……
これが一番の目標よね","The ""Starlit Season"" is what we're all aiming for: ......
That's our main goal."
"Idolchr_0110_A_01_00_015(0)","伊織","どういったプロデュース方針なの？
ちゃんとまとめられそう？","What is your production policy?
Can you put it all together properly?"
"Idolchr_0110_A_01_00_016(0)","Ｐ","うっ……。
伊織にそう心配されると、俺も緊張してくるな","Ugh. .......
When Iori worries about me like that, I get nervous too."
"Idolchr_0110_A_01_00_017(0)","伊織","大きなプロジェクトだし、緊張するのもわかるけど、
アンタには、どっしりしていてほしいわね","It's a big project, and I know you're nervous,
I hope you've got your shit together."
"Idolchr_0110_A_01_00_018(0)","Ｐ","ルミナスのみんなを引っ張っていくのは大仕事だ","It's a big job to lead everyone in Luminous."
"Idolchr_0110_A_01_00_019(0)","Ｐ","だからこそ、このプロジェクトを成功させるには、
伊織の力がどうしても必要なんだ","That's why we need to make this project a success,
I really need Iori's help."
"Idolchr_0110_A_01_00_020(0)","伊織","わかったわ。にひひっ、伊織ちゃんが
ルミナスを大成功に導いてあげる！","All right, I'm sorry, Iori.
I will make Luminous a great success!"
"Idolchr_0110_A_01_00_021(0)","Ｐ","力強いな、よろしく頼むよ","That's powerful. Take care of it."
"Idolchr_0110_A_01_00_022(0)","伊織","もちろん、アンタも頑張るのよ。
それで早速だけど、何をすればいいかしら？","Of course, you're going to do your best.
So, without further ado, what can I do for you?"
"Idolchr_0110_A_01_00_023(0)","Ｐ","そうだな、伊織なら色々任せられそうだけど……
うーん……","Yes, Iori could be trusted with a lot of things. ......
Hmmm ......"
"Idolchr_0110_A_01_00_024(0)","伊織","もう、しっかりしなさいよ。
そうね、私が出来ることといえば……","Get a grip already.
Well, the best I can do is visit ......"
"Idolchr_0110_A_01_00_025(0)","伊織","ルミナスに入ってきた子たちに、
基本的なレッスンをしてあげるくらいかしら","To the children who came into Luminous,
Maybe I can give you a basic lesson."
"Idolchr_0110_A_01_00_026(0)","Ｐ","おお、それは頼もしいな。
それじゃあ……","Oh, that's encouraging.
Okay then: ......"
"Idolchr_0110_A_01_00_027(0)","選択肢","適度にレッスンを
やってくれ！","Lessons in moderation.
Do it!"
"Idolchr_0110_A_01_00_028(0)","選択肢","厳しく
スパルタで頼む！","severely
Spartan, please!"
"Idolchr_0110_A_01_00_029(0)","選択肢","一人前のアイドルに
育ててくれ！","To be a full-fledged idol.
Grow!"
"Idolchr_0110_A_01_00_030(0)","Ｐ","まずは適度なレッスンをやってくれ","Do a moderate lesson first."
"Idolchr_0110_A_01_00_031(0)","伊織","私もそれが一番いいと思うわ。
いまどきスパルタなんて流行らないものね","I think that's the best I can do too.
Sparta is out of fashion nowadays."
"Idolchr_0110_A_01_00_032(0)","伊織","まずは基礎レッスンをやって、
みんなとの協調性を確認するのもいいかしら","Do the basic lesson first,
Might as well make sure we're all on the same page."
"Idolchr_0110_A_01_00_033(0)","Ｐ","そうだな、厳しくスパルタで頼む！","Yes, strictly Spartan, please!"
"Idolchr_0110_A_01_00_034(0)","伊織","はぁ……。アンタねえ、いまどきそんなやり方で
みんながついてくると思ってるの？","You know, ......, that's just the way it is nowadays.
You think people will follow you?"
"Idolchr_0110_A_01_00_035(0)","伊織","そんな根性論じゃなくて、
伊織ちゃんが効率的なレッスンをしてあげるわよ","Not that kind of gut feeling,
Iori will give you an efficient lesson."
"Idolchr_0110_A_01_00_036(0)","Ｐ","いっそのこと、
一人前のアイドルに育ててくれ","More than once,
Raise me to be a full-fledged idol."
"Idolchr_0110_A_01_00_037(0)","伊織","一人前にって、それはアンタの仕事じゃない！
自分の仕事を丸投げって、どういうことよ！？","It's not your job to be a man!
What do you mean, throwing your own work away!"
"Idolchr_0110_A_01_00_038(0)","伊織","ま、私なら楽勝だけど……","Well, I'd have an easy time of it: ......"
"Idolchr_0110_A_01_00_039(0)","伊織","とにかく、伊織ちゃんとアンタが一緒にやれば、
ルミナスなんて、あっという間に成長しちゃうわ♪","Anyway, if Iori and you do it together,
Luminous will grow so fast... ♪"
"Idolchr_0110_A_01_00_040(0)","伊織","さてと、私もレッスンをしておこうかしら。
なんて真面目な伊織ちゃん♪","Well, I guess I should give a lesson too.
How serious Iori is... ♪"
"Idolchr_0110_A_01_00_041(0)","伊織","そういうことだから、みんながレッスンしやすい
場所とか先生を、ちゃんと準備しておいてね","That's the kind of thing that makes it easy for everyone to take lessons.
Make sure you have the right place and the right teacher."
"Idolchr_0110_A_01_00_042(0)","Ｐ","ああ、わかった。まかせておけ","Yeah, okay, I'll take care of it."
"Idolchr_0110_A_01_00_043(0)","Ｐ","（伊織はノリノリのようだな……。
伊織のやる気に応えるために、俺も頑張らないとな）","(Iori seems to be in a groove. ......
(I should do my best to respond to Iori's motivation.)"
"Idolchr_0110_A_02_00_001(0)","Ｐ","（突然、レッスン場へ来るように
伊織から連絡が入った……）","(Suddenly, he started coming to the lesson room.
(Iori contacted me at ......)"
"Idolchr_0110_A_02_00_002(0)","伊織","おっそーい！
まったくもう、いつまで待たせるつもり！","Oops!
I'm so tired of waiting!"
"Idolchr_0110_A_02_00_003(0)","Ｐ","すまん……。連絡をもらってから、
すぐに駆けつけてきたんだけど……","Sorry, ....... after I was contacted,
I came rushing in right away: ......"
"Idolchr_0110_A_02_00_004(0)","伊織","私との約束を忘れるなんて、ぼーっとし過ぎよ！
なにかあったのかと、思っちゃったじゃない……","You're too spaced out to forget your appointment with me!
I thought something was wrong. ......"
"Idolchr_0110_A_02_00_005(0)","Ｐ","……約束？","...... promise?"
"Idolchr_0110_A_02_00_006(0)","伊織","あら？　なんでアンタしかいないの？
ルミナスのみんなはどうしたの？","Why are you the only one?
What happened to all the Luminas?"
"Idolchr_0110_A_02_00_007(0)","伊織","今日は、世界のアイドル
水瀬伊織ちゃんの特別レッスンなのに","Today, the world's idols
It's a special lesson for Iori Minase."
"Idolchr_0110_A_02_00_008(0)","Ｐ","えっ……。
ああ、そういうことか！","What? .......
Oh, that's how it is!"
"Idolchr_0110_A_02_00_009(0)","Ｐ","伊織に頼んだレッスンは、スケジュールが変わって
来週になったって、連絡したと思うんだけど……","The lesson Iori asked me to give changed my schedule.
I think I contacted you to say it was next week: ......"
"Idolchr_0110_A_02_00_010(0)","伊織","えっ……。あのスケジュール変更って、
ルミナスのレッスンのこと……。ああっ……！","What's that schedule change at ......?
Luminous lessons. ....... Oh, ......!"
"Idolchr_0110_A_02_00_011(0)","Ｐ","どうやら、伊織の勘違いだったみたいだな","Apparently, Iori was mistaken."
"Idolchr_0110_A_02_00_012(0)","伊織","……そうみたい。……わ、悪かったわね。
急に怒鳴ったりして……","Looks like ....... ...... wow, my bad.
Suddenly yell at me or something. ......"
"Idolchr_0110_A_02_00_013(0)","Ｐ","いや、そんなことないよ……","No, it's not. ......"
"Idolchr_0110_A_02_00_014(0)","選択肢","誰にでも
失敗はあるからな","anyone
Failure is a thing."
