"id","character","source","translatedstr"
"crossover_0001_A_00_10_001(0)","Ｐ","（春香と千早が何やら話をしているようだ……。
それにあそこにいるのは……）","(Haruka and Chihaya are talking about something. ......
(And that's ......) over there."
"crossover_0001_A_00_10_021(0)","春香","千早ちゃん！
この前話した海外ドラマ、もう見た？","Chihaya!
Have you seen the foreign dramas we talked about last time?"
"crossover_0001_A_00_10_022(0)","千早","ええ……主題歌がいい曲だったわ","Yeah, ...... theme song was a great song."
"crossover_0001_A_00_10_023(0)","春香","内容はどうだった？　ヒロインの女の子の
気持ちとか、ドキドキしなかった？","How was the content? The heroine's girl.
Didn't you get a feeling or a thrill?"
"crossover_0001_A_00_10_024(0)","千早","ドキドキというか、ハラハラはしたわね。
あの子、この後どうなってしまうのかしら……","I was thrilled, or rather, on the edge of my seat.
I wonder what's going to happen to that girl after this: ......"
"crossover_0001_A_00_10_025(0)","春香","今後の展開もすごいんだよ！
だから、この次も見てほしいな","It's amazing what we're going to do in the future!
So I hope you'll see this next one."
"crossover_0001_A_00_10_002(0)","千早","ええ。あ、そうだ、春香。主題歌のＣＤを
買いたいのだけど、もう発売しているかしら？","Yes, Haruka, I need the CD of the theme song.
I would like to buy it, but I wonder if it is already on sale?"
"crossover_0001_A_00_10_003(0)","春香","え～っと、たしか、出てたと思う！
それじゃ、今度のお休みの日に買いに行こうよ","Let's see, I think I was out!
Well then, let's go buy some on your next day off."
"crossover_0001_A_00_10_026(0)","千早","いいわね","That's nice."
"crossover_0001_A_00_10_004(0)","心白","……春香さんと千早さんって、
すごく仲がいいんですね","...... Haruka and Chihaya?
You are very close."
"crossover_0001_A_00_10_005(0)","春香","あ、心白ちゃん！　えへへっ、改めて言われると
なんだか照れちゃうね、千早ちゃん！","Ah, Shinbaku-chan! Ehehehe, you say that again.
I'm kind of embarrassed, Chihaya!"
"crossover_0001_A_00_10_006(0)","千早","そ、そうね……","Well, yes. ......"
"crossover_0001_A_00_10_007(0)","心白","おふたりは、普段はどんなところに
遊びに行くんですか？","What kind of place do you two usually go to?
Are you going to play?"
"crossover_0001_A_00_10_008(0)","春香","うーん、その時の気分次第で色々な所に行くかな？
この前は……ふたりでカラオケに行ったよね","Hmmm....maybe I'll go to different places depending on how I'm feeling at the time?
Last time we went to ...... you two went to karaoke."
"crossover_0001_A_00_10_027(0)","千早","そうだったわね","Oh, yes."
"crossover_0001_A_00_10_028(0)","春香","千早ちゃん、採点で１００点がなかなか取れなくて、
ずーっとマイクを放さなかったっけ","Chihaya, I had a hard time getting 100 points in grading,
I don't remember you letting go of the microphone the whole time."
"crossover_0001_A_00_10_029(0)","千早","ち、ちょっと、春香？","Hey, hey, Haruka?"
"crossover_0001_A_00_10_030(0)","春香","えへへ。
でも最後はしっかり１００点出してたよね","Heh heh.
But you did score a solid 100 at the end."
"crossover_0001_A_00_10_009(0)","千早","……そういう春香だって、テストで悪い点を取った
ストレス発散だ、ってずっと歌ってたと思うけど","......Even Haruka like that got a bad score on a test.
I think they sang all the time, ""It's a stress reliever."
"crossover_0001_A_00_10_010(0)","春香","ち、千早ちゃんっ！","Chihaya-chan!"
"crossover_0001_A_00_10_011(0)","千早","ふふ、ご、ごめんなさい","Oh, I'm sorry."
"crossover_0001_A_00_10_012(0)","心白","ふふっ……お互いに自然体でいられる。
春香さんと千早さんは、そういう関係なんですね","Phew ...... we can be natural with each other.
Haruka and Chihaya have that kind of relationship."
"crossover_0001_A_00_10_013(0)","春香","自然体かぁ……。あんまり考えたことなかったけど、
たぶんそうなのかも","I never really thought about it. ......
Maybe so."
"crossover_0001_A_00_10_014(0)","千早","そうね。
春香と一緒にいると、私も落ち着くもの","Yes, I think so.
I feel at home when I'm with Haruka."
"crossover_0001_A_00_10_015(0)","心白","うらやましいです！　私も、みなさんと
そうなれたらいいなって思います……","I'm jealous!
I wish I could. ......"
"crossover_0001_A_00_10_016(0)","春香","ねぇ、心白ちゃん。次のお休みって、空いてる？
私たちと一緒にお買いものに行かない？","Hey, Shinpaku, are you free on your next day off?
Would you like to go shopping with us?"
"crossover_0001_A_00_10_017(0)","心白","え？　あの……お邪魔していいんですか？","What? Um, ......, am I interrupting?"
"crossover_0001_A_00_10_018(0)","千早","もちろん、心白が良ければ","Of course, if the heart white is good enough."
"crossover_0001_A_00_10_019(0)","心白","は、はいっ。よろしくお願いします！","Yes, yes, thank you very much!"
"crossover_0001_A_00_10_020(0)","Ｐ","（心白も、この調子で他のみんなとも
どんどん仲良くなってほしいな……）","(Shinbaku, too, keep up the good work with everyone else.
I hope they get to know each other better and better (......)"
"crossover_0001_A_00_11_001(0)","Ｐ","（おや、談話スペースにいるのは、美希たちか。
みんなして、どんな話をしているんだろう……）","(Oh, is that Miki and the others in the common space?
I wonder what everyone is talking about (......)"
"crossover_0001_A_00_11_002(0)","美希","それでね、ミキ的にはお昼寝をした後のほうが
お仕事がうまくいくって思うの","So, you know, from Miki's point of view, it's more after a nap.
I think your work will go well."
"crossover_0001_A_00_11_003(0)","美希","ねぇねぇ、甜花と咲耶はどう思う？","Hey, hey, what do Tetuka and Sakuya think?"
"crossover_0001_A_00_11_004(0)","甜花","て、甜花も……お昼寝したほうが、
調子いい……かも……","I think you should take a nap at ......, too,
I'm on a roll ...... or ......"
"crossover_0001_A_00_11_005(0)","美希","あはっ☆
甜花もミキと同じなの♪","ahaha*
Tenka is the same as Miki... ♪"
"crossover_0001_A_00_11_006(0)","甜花","にへへ……
甜花、お昼寝……好き……","2hehehe ......
Tenka, napping ...... likes ......"
"crossover_0001_A_00_11_007(0)","咲耶","確かに、昼寝をすることで、
集中力や学習能力が上がるとも言われているね","Certainly, by taking a nap,
I've heard it's said to improve concentration and learning ability."
"crossover_0001_A_00_11_008(0)","美希","ミキ、難しいことはよくわかんないけど、
咲耶が言うなら、きっとそうなんだね","Miki, I don't know how hard it is,
If Sakuya says so, it must be true."
"crossover_0001_A_00_11_009(0)","美希","それじゃあ、ミキはさっそくお昼寝しに、
ソファに行くの。……あふぅ","Well then, Miki is going to take a nap right away,
I'm going to the couch. ...... ahhh"
"crossover_0001_A_00_11_010(0)","甜花","あれ……？
ソファって確か……","Is that ......?
I'm pretty sure the sofa is ......"
"crossover_0001_A_00_11_011(0)","美希","あーっ！　杏が窓側のソファで寝てるの！","Aah! Anzu is sleeping on the sofa by the window!"
"crossover_0001_A_00_11_012(0)","咲耶","おや、先客がいたようだね。なるほど、
杏はすでに実践中、と……","Oh, I see you had a visitor before me,
Anzu is already practicing, and ......"
"crossover_0001_A_00_11_013(0)","美希","む～。こっちのソファ、ぽかぽかして寝心地が
いいから、ミキのお気に入りだったのに……","This sofa is so warm and comfortable to sleep on.
Come on, it was Miki's favorite. ......"
"crossover_0001_A_00_11_014(0)","甜花","ほ、星井さん……ど、どんまい……","Ho, Ms. Hoshii ...... Do, Don't ......"
"crossover_0001_A_00_11_015(0)","咲耶","今日のところは、
もう片方のソファで寝るしかないかな？","Today,
I guess I'll just have to sleep on the other couch."
"crossover_0001_A_00_11_016(0)","美希","仕方ないから、そうするの。
ふぁぁ……ふたりとも、お休みなさい……なの……","I have no choice, so I do.
Huh...... you both have a good night......"
"crossover_0001_A_00_11_017(0)","甜花","は、早い……
もう、寝ちゃった……","is an early ......
I've already gone to bed: ......"
"crossover_0001_A_00_11_018(0)","咲耶","杏といい、美希といい、とてもいい寝顔だ……。
見ていると、心が穏やかになるね","Anzu and Miki have very nice sleeping faces. ......
It's so peaceful to watch."
"crossover_0001_A_00_11_019(0)","甜花","ふわぁ……て、甜花も……
なんだか……眠く、なっちゃった……","Wow ...... and Tenka is also ......
I'm feeling ...... sleepy. ......"
"crossover_0001_A_00_11_020(0)","咲耶","いいんじゃないかな？　うららかな午後のひと時、
皆で休息を取るのも悪くないと思うよ","Isn't it nice? A moment on an enviable afternoon,
I don't think it's a bad idea for all of us to take a break."
"crossover_0001_A_00_11_021(0)","Ｐ","あれ？　声が聞こえなくなったと思ったら、
みんな、眠っているのか……","Huh? I thought I lost the voice,
Are you all asleep? ......"
"crossover_0001_A_00_11_022(0)","Ｐ","風邪をひかないように、毛布を掛けて……と。
みんな、毎日アイドル活動、お疲れ様","To avoid catching a cold, you can put a blanket on and go to .......
Thanks for your hard work, everyone, for being an idol every day!"
"crossover_0001_A_00_11_023(0)","Ｐ","ふわぁ……。
俺も一休みするかな……","Wow. .......
Maybe I'll take a break too: ......"
"crossover_0001_A_00_12_001(0)","Ｐ","（ん？　あそこにいるのは真と貴音と甘奈か。
なにやら事務所内を見ているようだが……）","(Hmm? Is that Makoto, Takane and Amana over there?
(I think I'm looking at something in my office. ......)"
"crossover_0001_A_00_12_002(0)","Ｐ","３人で事務所を見て回ってるのか？","The three of you are making the rounds of the office?"
"crossover_0001_A_00_12_003(0)","真","あ、プロデューサー！　そうなんですよ。
新しい事務所だから、なんだかワクワクしちゃって","Oh, producer! Yes, that's right.
It's a new office, so I'm kind of excited."
"crossover_0001_A_00_12_004(0)","真","それで、貴音と甘奈と一緒に、
いろいろ見て回っているところなんです","So, with Takane and Amana,
I'm just looking around at things."
"crossover_0001_A_00_12_005(0)","Ｐ","そうだったのか。
貴音はここについて、どう思った？","I didn't know that.
What did you think about this place, Takane?"
"crossover_0001_A_00_12_006(0)","貴音","この事務所、ですか？
そうですね……","This office, is it?"
"crossover_0001_A_00_12_007(0)","貴音","ルミナスは大所帯ゆえ、このような広い場所を
お借りしていると聞きました","Luminous is a large place.
I hear you are borrowing."
"crossover_0001_A_00_12_008(0)","Ｐ","ああ、さすがに７６５プロの方だと、
みんなで活動するには狭いからな……","Oh, you are indeed a 765 professional,
It's too small for everyone to work together. ......"
"crossover_0001_A_00_12_009(0)","貴音","はい。
ですが、皆がいる温かみがある場所でした","
But it was a warm and welcoming place where everyone"
"crossover_0001_A_00_12_040(0)","貴音","こちらも、
そのような場所になるといいですね","Also here,
I hope it becomes such a place."
