"id","character","source","translatedstr"
"main_0006_A_01_00_001(0)","Ｐ","（先月末の単独ライブは頑張ってくれたな……。
リフレッシュも兼ねて、今日の活動はお休みだ）","(You did a great job with your solo show at the end of last month. ......
(And just to refresh you, I'm taking today's activity off.)"
"main_0006_A_01_00_002(0)","小鳥","プロデューサーさん。
はい、お茶をどうぞ","Producer.
Yes, please have some tea."
"main_0006_A_01_00_003(0)","Ｐ","音無さん、ありがとうございます。
いただきますね","Thank you, Otonashi.
Bon appétit."
"main_0006_A_01_00_004(0)","","プルルル……プルルル……","Pullulu...... Pullulu......"
"main_0006_A_01_00_005(0)","Ｐ","お、ＴＶ局のディレクターからだ。
――はい、もしもし","Oh, it's from the director of the TV station.
--Yes, hello."
"main_0006_A_01_00_006(0)","ＴＶディレクター","プロデューサー、お疲れさん！　この前のルミナスの
単独ライブ、良かったよ～。絶好調、って感じだね！","Good job, producers! The last time I was in Luminous...
Your solo show was great!"
"main_0006_A_01_00_007(0)","Ｐ","ありがとうございます。
おかげさまで、ようやく軌道に乗れました","Thank you very much.
Thanks to you, we are finally back on track!"
"main_0006_A_01_00_008(0)","ＴＶディレクター","それで、飛ぶ鳥を落とす勢いのルミナスさんに、
面白い企画があるんだ！","So I went to Luminous, which is a flying bird,
I have an interesting project!"
"main_0006_A_01_00_009(0)","Ｐ","面白い企画、ですか？","Interesting project, huh?"
"main_0006_A_01_00_010(0)","ＴＶディレクター","そうそう。『情熱！アイドル列伝！』っていう、
ドキュメンタリー番組なんだけどさ","It's called ""Jounetsu! Idol Retsuden!
It's a documentary program."
"main_0006_A_01_00_011(0)","ＴＶディレクター","『新アイドル発見！アイドル㊙密着取材』っていう
コーナーがあって、それに出演してほしいんだよね～","It's called ""Discover New Idols!
There's a corner and I want you to be on it!"
"main_0006_A_01_00_012(0)","Ｐ","ほ、本当ですか？　それは、ぜひ！","Oh, really? I'd love to hear that!"
"main_0006_A_01_00_013(0)","ＴＶディレクター","おっけー！　それじゃ詳細はこの後メールで
送るよ。期待してるから、よろしくね～","Okay, I'll email you the details later.
I'll send it to you...I'm counting on you!"
"main_0006_A_01_00_014(0)","","ピ","4th note in the tonic solfa representation of the diatonic scale"
"main_0006_A_01_00_015(0)","小鳥","お仕事の依頼ですか？","Are you asking for a job?"
"main_0006_A_01_00_016(0)","Ｐ","営業先で知り合ったディレクターなんですが、
ルミナスを気に入ってくれたようで","I'm a director I met at a sales office,
They liked Luminous."
"main_0006_A_01_00_017(0)","Ｐ","ドキュメンタリー番組に、
出演してほしいとのお話でした","For documentary programs,
She said he wanted me to perform."
"main_0006_A_01_00_018(0)","小鳥","すごいじゃないですか！
それで、どんな内容なんですか？","Isn't that great?
So, what's the story?"
"main_0006_A_01_00_019(0)","Ｐ","詳細は、すぐメールを送ると言っていました。
あ、来ました。これですね……","She said he would send an email soon with more details.
Ah, here it is: ......"
"main_0006_A_01_00_020(0)","小鳥","『情熱！アイドル列伝！』といえば、
とっても有名なアイドル番組じゃないですか！","Speaking of ""Passion!
It's a very famous idol show, isn't it?"
"main_0006_A_01_00_021(0)","小鳥","そ、それに『新アイドル発見！アイドル㊙密着取材』
もすっごく人気のあるコーナーですよ！","And, ""Discover New Idols!
is also a very popular corner!"
"main_0006_A_01_00_022(0)","小鳥","私、あのコーナーの大ファンなんです！
それにルミナスのみんなが出るなんて～","I am a big fan of that section!
And I can't believe all the Luminous guys are going to be there."
"main_0006_A_01_00_023(0)","Ｐ","えーと……アイドル自身が自分たちを１ヶ月密着取材
して撮影する、という企画ですか","Let's see... ...... idols themselves closely interviewed themselves for a month.
Is it a project that you are going to take a picture with"
"main_0006_A_01_00_024(0)","小鳥","はい。フレッシュな新人アイドルの頑張りに、
焦点を当てるコンセプトですね","Yes, to the efforts of the fresh new idols,
It's a concept to focus on."
"main_0006_A_01_00_025(0)","小鳥","どのアイドルたちも、
一生懸命な姿がとても胸を打つんですよ～","All idols,
It's so heartbreaking to see how hard they work!"
"main_0006_A_01_00_026(0)","Ｐ","それで、ドキュメンタリーの内容に関してですが、
ちょっとした提案があるそうです","So, regarding the content of the documentary,
She has a little suggestion."
"main_0006_A_01_00_027(0)","小鳥","……提案ですか？","...... suggestions?"
"main_0006_A_01_00_028(0)","Ｐ","アイドル専門の歌番組である、
『ＨＥＬＬＯ☆アイドルフューチャー』","It is a singing program dedicated to idols,
HELLO☆Idle Future"""
"main_0006_A_01_00_029(0)","Ｐ","そのオーディションを目指す様子を、
撮影してもらいたい、とのことです","How to go about that audition,
They want to have it photographed."
"main_0006_A_01_00_030(0)","小鳥","それは面白そうですね。
きっと、いい撮影ができると思いますよ","That sounds interesting.
I'm sure you'll have a great shoot!"
"main_0006_A_01_00_031(0)","Ｐ","ただ、自分たちで撮影してレポートする……。
誰に担当させるか悩みどころですね……","Just shoot and report your own .......
It's hard to know who to put in charge. ......"
"main_0006_A_01_00_032(0)","Ｐ","うーん、迷うな……。
最も取材慣れしているのは春香たちだ……","Hmmm, I'm lost. ......
The people most accustomed to covering the event are Haruka and her team: ......"
"main_0006_A_01_00_033(0)","Ｐ","しかし、菜々たちの組み合わせも、個性があって
独特のレポートが楽しめそうだ……","But the combination of the Nana and the others is also unique.
I'm sure you'll enjoy the unique report: ......"
"main_0006_A_01_00_034(0)","Ｐ","未来たちにも任せてみたいし、
あるいは咲耶たちでも……","I want to let the future guys take care of it,
Or even Sakuya and her friends: ......"
"main_0006_A_01_00_035(0)","Ｐ","もちろん、心白にも経験を積んでもらいたいが……。
う～ん……これは難しいぞ","Of course, I'd like to get some experience in mindbai, but .......
Hmmm ...... this is going to be hard!"
"main_0006_A_01_00_036(0)","小鳥","ふふっ。みんないい子たちだから、
悩ましいですよね","They're all good kids,
It's distressing, isn't it?"
"main_0006_A_01_00_037(0)","小鳥","あ、でも今回は
『新アイドル発見！』のコーナーなんですよね？","Ah, but this time
It's the ""Discover New Idols"" section, right?"
"main_0006_A_01_00_038(0)","小鳥","それなら、２８３プロ所属の５人にお願いするのは
どうでしょうか？","Then, I would ask the five members of 283 Pro.
What do you think?"
"main_0006_A_01_00_039(0)","小鳥","心白ちゃんを除けば、ルミナスの中で一番の新人は、
彼女たちですからね","The best newcomer in Luminous, except for Shinbaku-chan, is,
It's them."
"main_0006_A_01_00_040(0)","Ｐ","なるほど……！　それはいいですね！
よし、その５人にしましょう！","I see. ......! That's a good one!
Okay, let's make it those five!"
"main_0006_A_01_00_041(0)","Ｐ","いや～、助かりました！
いつも相談に乗ってくださってありがとうございます","Oh no, that was helpful!
Thank you for all your help and advice."
"main_0006_A_01_00_042(0)","小鳥","いいえ。少し忙しくなりそうですけど、
張り切っていきましょう！","No. It's going to be a little busy, though,
Let's keep up the good work!"
"main_0006_A_01_00_043(0)","Ｐ","はい、頑張りましょう！","Yes, good luck!"
"main_0006_A_01_00_044(0)","Ｐ","（いい流れだ！
週明けに、みんなに伝えるのが楽しみだな）","(Nice flow!
(Can't wait to tell you guys later in the week)"
"main_0006_B_01_00_001(0)","Ｐ","さて、今月も『スターリットシーズン』の目標
ファン人数を集めるため、活動をしていくわけだが","Now, another ""Starlit Season"" goal for this month.
In order to gather the number of fans, we are going to work"
"main_0006_B_01_00_002(0)","Ｐ","実は、ルミナスとして、『情熱！アイドル列伝！』
という番組への出演が決まった","In fact, as Luminous, ""Passion!
She was selected to appear in a program called"
