"id","character","source","translatedstr"
"main_0012_Z_01_00_001(0)","Ｐ","（この道も、何度歩いたことだろう……）","(How many times have I walked this road, too? ......)"
"main_0012_Z_01_00_002(0)","Ｐ","（『スターリットシーズン』が終わって、
まだ間もないのに、遙か昔の出来事のようだ……）","(After the ""Starlit Season,
It's not long now, but it seems like it happened a long time ago (......)"
"main_0012_Z_01_00_003(0)","Ｐ","（新しい年が始まったばかりだけど……）","(A new year has just begun. ......)"
"main_0012_Z_01_00_004(0)","Ｐ","（この事務所に来るのも、今日で最後か――）","(I guess this is the last time I'll be in this office...)"
"main_0012_Z_01_00_005(0)","Ｐ","うん？　鍵が開いてるな……。
それに灯りもついている……","Yeah? You're unlocked. .......
And it has lights on it: ......"
"main_0012_Z_01_00_006(0)","小鳥","おはようございます、プロデューサーさん","Good morning, producer."
"main_0012_Z_01_00_007(0)","Ｐ","お、おはようございます……音無さん……","Oh, good morning ...... soundless ......"
"main_0012_Z_01_00_008(0)","小鳥","……どうしたんですか？
びっくりした顔してますけど？","What's wrong with ......?
You look surprised."
"main_0012_Z_01_00_009(0)","Ｐ","いえ……。今日は、最後の戸締りにきただけで、
誰もいないと思ってたので……","No, ....... I just came to close the door for the last time today,
I didn't think anyone was here, so I went to ......"
"main_0012_Z_01_00_010(0)","小鳥","うふふ、実は、私だけじゃなくて
みんな来てるんですよ","Ummm... Actually, I'm not the only one.
They're all here."
"main_0012_Z_01_00_011(0)","Ｐ","えっ！？　みんな？
みんなって……","What?
Everyone says ......"
"main_0012_Z_01_00_012(0)","小鳥","もちろん、
ルミナスのみんなです","Of course,
Everyone at Luminous."
"main_0012_Z_01_00_013(0)","小鳥","今日で事務所が締まるって聞いて、
集まったんだそうです。実は私も、なんですけど","I heard that the office closes today,
Actually, I've been there, too."
"main_0012_Z_01_00_014(0)","小鳥","みんな、プロデューサーさんを待ってますよ！","Everyone is waiting for the producer!"
"main_0012_Z_01_00_015(0)","Ｐ","……そうですか、ちょうどよかったです","...... Well, that was just great!"
"main_0012_Z_01_00_016(0)","小鳥","あら、みんなに用事があったんですか？","Oh, did you have something for everyone?"
"main_0012_Z_01_00_017(0)","Ｐ","落ち着いたらみんなに、
話したいと思っていたことがあるんです","To all of you when you get settled,
There's something I've been meaning to talk to you about."
"main_0012_Z_01_00_018(0)","Ｐ","まずは、みんなのところへ行ってきます！","First, I'm going to visit everyone!"
"main_0012_Z_01_00_019(0)","伊織","あら。遅かったじゃない、プロデューサー。
みんなもう集まってるわよ","Oh, you're late, producer.
Everyone's already here."
"main_0012_Z_01_00_020(0)","雪歩","ほかのみんなは
レッスンスタジオや屋上に行ったみたいです","Everyone else...
It's like going to the lesson studio or the rooftop."
"main_0012_Z_01_00_021(0)","亜美","あっ、兄ちゃん発見！　
事務所で遊ぶのも最後だし、鬼ごっこでもする？","Oh, I found my brother!
It's the last time we can play in the office. Do you want to play tag?"
"main_0012_Z_01_00_022(0)","真美","鬼ごっこもいいけど、
ゲーム大会の特訓もしなきゃだよ","A game of tag is good, too,
I'll have to train for a game tournament."
"main_0012_Z_01_00_023(0)","Ｐ","ゲーム大会？","A game convention?"
