"id","character","source","translatedstr"
"morning_00_0001_00_001(0)","Ｐ","いい天気だ。
今日はいいことがありそうだな","It's a beautiful day.
Sounds like a good day to me."
"morning_00_0001_00_002(0)","Ｐ","今日はどんな活動をするべきか……。
やってみたいことだらけで悩ましいな","What activities should you do today? .......
So many things I'd like to try, it's annoying."
"morning_00_0001_00_003(0)","Ｐ","プロデュース道は１日にしてならず。
今日も前進あるのみ！","The road to producing does not take a day.
Today, we can only move forward!"
"morning_00_0001_00_004(0)","Ｐ","今日も１日のはじまりだ。
ルミナスのみんなと頑張るぞ！","It's the start of another day.
I'm going to work hard with everyone at Luminous!"
"morning_00_0001_00_005(0)","Ｐ","今日は晴れ渡っていい天気だな。
こんな日は、いい仕事ができそうだ","It's a beautiful, sunny day today.
On a day like this, it's going to be a good day to work."
"morning_00_0001_00_006(0)","Ｐ","ルミナスのみんなどうしているかな……。
今日も挑戦の始まりだ、早く事務所に行かないとな","I wonder how everyone in Luminous is doing. ......
Another day of challenges. I need to get to the office as soon as possible."
"morning_00_0001_00_007(0)","Ｐ","メンバーひとりひとりの顔を思い浮かべるには
事務所までの道は短すぎるな……","To picture the face of each member
The road to the office is too short. ......"
"morning_00_0001_00_008(0)","Ｐ","まぶしい朝日だ。
こんな輝きを持ったアイドルにしていかないとな","It's a dazzling sunrise.
We need to make idols with this kind of brilliance."
"morning_00_0001_00_009(0)","Ｐ","朝ごはん、しっかり食べて充電完了！
さあ、気合を入れて今日も頑張るぞ！","Breakfast, well eaten and recharged!
Now, let's get fired up and get going today!"
"morning_00_0001_00_010(0)","Ｐ","今日の占いは、大吉だったな。
何かいい事があるといいな……","Today's horoscope was a great fortune, wasn't it?
I hope something good comes out of it: ......"
"morning_00_0001_01_001(0)","Ｐ","いい天気だ。
今日はいいことがありそうだな","It's a beautiful day.
Sounds like a good day to me."
"morning_00_0001_01_002(0)","Ｐ","今日はどんな活動をするべきか……。
やってみたいことだらけで悩ましいな","What activities should you do today? .......
So many things I'd like to try, it's annoying."
"morning_00_0001_01_003(0)","Ｐ","プロデュース道は１日にしてならず。
今日も前進あるのみ！","The road to producing does not take a day.
Today, we can only move forward!"
"morning_00_0001_01_004(0)","Ｐ","今日も１日のはじまりだ。
ルミナスのみんなと頑張るぞ！","It's the start of another day.
I'm going to work hard with everyone at Luminous!"
"morning_00_0001_01_005(0)","Ｐ","今日は晴れ渡っていい天気だな。
こんな日は、いい仕事ができそうだ","It's a beautiful, sunny day today.
On a day like this, it's going to be a good day to work."
"morning_00_0001_01_006(0)","Ｐ","ルミナスのみんなどうしているかな……。
今日も挑戦の始まりだ、早く事務所に行かないとな","I wonder how everyone in Luminous is doing. ......
Another day of challenges. I need to get to the office as soon as possible."
"morning_00_0001_01_007(0)","Ｐ","メンバーひとりひとりの顔を思い浮かべるには
事務所までの道は短すぎるな……","To picture the face of each member
The road to the office is too short. ......"
"morning_00_0001_01_008(0)","Ｐ","まぶしい朝日だ。
こんな輝きを持ったアイドルにしていかないとな","It's a dazzling sunrise.
We need to make idols with this kind of brilliance."
"morning_00_0001_01_009(0)","Ｐ","朝ごはん、しっかり食べて充電完了！
さあ、気合を入れて今日も頑張るぞ！","Breakfast, well eaten and recharged!
Now, let's get fired up and get going today!"
