"id","character","source","translatedstr"
"ConnectionNpc_1211_A_01_00_0001(0)","P","（体にいいという噂を聞き、サウナにやってきた
のだが、この時間は人が少ないみたいだ……）","(I came to the sauna because I heard a rumor that it was good for me.
(But there don't seem to be many people at this time of the day. ......)"
"ConnectionNpc_1211_A_01_00_0002(0)","？？？","おっ、何や、今日は先客がおんのかい","Oh, what, you have a visitor today?"
"ConnectionNpc_1211_A_01_00_0003(0)","サウナ好きのオッサン","おう、兄ちゃん、見ぃひん顔やな。
ココ初めてなん？","Oh, brother, you don't look familiar.
Are you new to this place?"
"ConnectionNpc_1211_A_01_00_0004(0)","P","はい。体にいいという噂を聞いてきてみました。
お見受けしたところ、常連さんのようですが……","Yes, I came here because I heard a rumor that it is good for you.
From what I can see, you are a regular ......"
"ConnectionNpc_1211_A_01_00_0005(0)","サウナ好きのオッサン","常連も常連！　そらもう、ヌシっちゅうくらいの
常連や！　ココのオートロウリュは最高やでホンマ！","Regulars are regulars, too! They're so regular, they're like nushis.
I'm a regular! The auto-lauryu at this place is the best, really!"
"ConnectionNpc_1211_A_01_00_0006(0)","サウナ好きのオッサン","……ところで兄ちゃん、仕事、何してん？　こない
真っ昼間にサウナて、普通の職業ちゃうやろ？","...... By the way, brother, what are you doing at work? I'm not coming.
Sauna in the middle of the day, that's not a normal occupation, is it?"
"ConnectionNpc_1211_A_01_00_0007(0)","P","（親切そうな人みたいだし、なにやら同業者の
雰囲気がするぞ。よし、ここは正直に……）","(She seems like a kind person and something of a peer.
I'm getting a vibe here, okay, let's be honest here: ......)"
"ConnectionNpc_1211_A_01_00_0008(0)","P","プロジェクトルミナスという、
アイドルユニットのプロデューサーをしています","It is called Project Luminous,
I am a producer of an idol unit"
"ConnectionNpc_1211_A_01_00_0009(0)","サウナ好きのオッサン","アイドルのプロデューサー！？　ホンマか！？
ワシもそれでブイブイ言わしとった時代あったわ！","Idol producer! Really?
There was a time when I was doing well with it!"
"ConnectionNpc_1211_A_01_00_0010(0)","金成　大蔵","『金成大蔵』って知らんか？
それ、ワシや、ワシ！","Have you ever heard of ""Kinsei Daizo""?
That's an eagle, an eagle!"
"ConnectionNpc_1211_A_01_00_0011(0)","P","金成大蔵さん……確か、２５年以上前に人気絶頂
だったアイドルのプロデューサーをしていたという","Ms. Daizo Kananari ......, as I recall, was at the height of her popularity more than 25 years ago.
She was the producer of an idol who was"
"ConnectionNpc_1211_A_01_00_0012(0)","P","心血注いだ活動が有名なプロデューサーだったと、
社長から聞いたことがあります！","She said she was a producer famous for her wholehearted activities,
I have heard this from the president!"
"ConnectionNpc_1211_A_01_00_0013(0)","金成　大蔵","兄ちゃん、そこは『仕掛け人』言うてほしいわ。
プロデューサーっちゅうんは、どうも馴染めんのや","Brother, I wish you would say ""trickster"" there.
I just don't get used to being a producer."
