"id","character","source","translatedstr"
"1(0)","？？？","？？？","???"
"2(0)","一同","一同","Everyone"
"3(0)","全員","全員","Everyone"
"4(0)","３人","３人","The 3"
"5(0)","静香たち","静香たち","Haruka's Group"
"6(0)","美希たち","美希たち","Miki's Group"
"7(0)","心白・亜夜","心白・亜夜","Kohaku & Aya"
"8(0)","杏・きらり","杏・きらり","Anzu & Kirari"
"9(0)","伊織・あずさ","伊織・あずさ","Iori & Azusa"
"10(0)","静香・千早","静香・千早","Shizuka & Chihaya"
"11(0)","杏・菜々","杏・菜々","Anzu & Nana"
"12(0)","亜美・真美","亜美・真美","Ami & Mami"
"13(0)","真美＆亜美","真美＆亜美","Mami & Ami"
"14(0)","亜美＆真美","亜美＆真美","Ami & Mami"
"15(0)","蘭子＆P","蘭子＆P","Ranko & P"
"16(0)","P&蘭子","P&蘭子","P & Ranko"
"17(0)","春香の声","春香の声","Haruka's Voice"
"18(0)","真の声","真の声","Makoto's Voice"
"19(0)","菜々の声","菜々の声","Nana's Voice"
"20(0)","翼の声","翼の声","Tsubasa's Voice"
"21(0)","甘奈の声","甘奈の声","Amana's Voice"
"22(0)","きらりの声","きらりの声","Kirari's Voice"
"23(0)","歌織の声","歌織の声","Kaori's Voice"
"24(0)","伊織の声","伊織の声","Iori's Voice"
"25(0)","Pログ","Pログ","P (normalized)"
"26(0)","蘭子ログ","蘭子ログ","Ranko (normalized)"
"27(0)","（蘭子ログ）","（蘭子ログ）","(Normal Ranko)"
"28(0)","青羽","青羽","Aoba"
"29(0)","千川","千川","Senkawa"
"30(0)","七草","七草","Nanakusa"
"31(0)","サウナ好きのオッサン","サウナ好きのオッサン","Sauna-loving Old Guy"
"32(0)","ペンギン","ペンギン","Penguin"
"33(0)","ハム蔵","ハム蔵","Hamzou"
"34(0)","子猫","子猫","Kitten"
"35(0)","猫の声","猫の声","Cat's voice"
"36(0)","子犬","子犬","Puppy"
"37(0)","子犬の群れ","子犬の群れ","Puppies"
"38(0)","安楽木 ユミ","安楽木 ユミ","Yumi Yasuragi"
"39(0)","Mr.木間暮","Mr.木間暮","Mr. Kimagure"
"40(0)","織田 芽衣","織田 芽衣","Mei Oda"
"41(0)","トゥインクル・巌","トゥインクル・巌","Twinkle Iwao"
"42(0)","将太・イムラ","将太・イムラ","Shouta Imura"
"43(0)","ＴＶアナウンサー","ＴＶアナウンサー","TV Announcer"
"44(0)","アナウンサー","アナウンサー","Announcer"
"45(0)","振付師","振付師","Choreographer"
"46(0)","司会","司会","Host"
"47(0)","ルミナス","ルミナス","Luminous"
"48(0)","ディレクター","ディレクター","Director"
"49(0)","番組司会","番組司会","Show Host"
"50(0)","スタイリスト","スタイリスト","Stylist"
"51(0)","ＴＶディレクター","ＴＶディレクター","TV Director"
"52(0)","カメラマン","カメラマン","Cameraman"
"53(0)","現地調査員","現地調査員","Field Investigator"
"54(0)","司会者","司会者","Chairman"
"55(0)","ＡＤ","ＡＤ","AD"
"56(0)","番組ディレクター","番組ディレクター","Program Director"
"57(0)","占い師","占い師","Fortune Teller"
"58(0)","監督","監督","Director"
"59(0)","パーソナリティー","パーソナリティー","Personality"
"60(0)","デザイナー","デザイナー","Designer"
"61(0)","店長","店長","Manager"
"62(0)","記者","記者","Reporter"
"63(0)","記事","記事","News"
"64(0)","スタッフ","スタッフ","Staff"
"65(0)","美術館オーナー","美術館オーナー","Museum Owner"
"66(0)","番組スタッフ","番組スタッフ","Program Staff"
"67(0)","メインパーソナリティ","メインパーソナリティ","Main Personality"
"68(0)","雑誌編集者","雑誌編集者","Magazine Editor"
"69(0)","店員さん","店員さん","Employee"
"70(0)","芸人","芸人","Entertainer"
"71(0)","編集者","編集者","Editor"
"72(0)","編集局長","編集局長","Editor-in-Chief"
"73(0)","クライアント","クライアント","Client"
"74(0)","姫役の女優","姫役の女優","Actress as a Princess"
"75(0)","バーテンダー","バーテンダー","Bartender"
"76(0)","店員","店員","Employee"
"77(0)","雑誌記者","雑誌記者","Magazine Reporter"
"78(0)","ＴＶ関係者","ＴＶ関係者","TV Participants"
"79(0)","業者","業者","Trader"
"80(0)","パティシエ","パティシエ","Patissier"
"81(0)","店主","店主","Shopkeeper"
"82(0)","演出家","演出家","Director"
"83(0)","ウェイトレス","ウェイトレス","Waitress"
"84(0)","配達員","配達員","Deliveryman"
"85(0)","企画者","企画者","Planner"
"86(0)","会場スタッフ","会場スタッフ","Venue Staff"
"87(0)","場内アナウンス","場内アナウンス","Hall Announcement"
"88(0)","アナウンス","アナウンス","Announcement"
"89(0)","学生Ａ","学生Ａ","Student A"
"90(0)","学生Ｂ","学生Ｂ","Student B"
"91(0)","男子学生Ａ","男子学生Ａ","Male Student A"
"92(0)","男子学生Ｂ","男子学生Ｂ","Male Student B"
"93(0)","女性Ａ","女性Ａ","Woman A"
"94(0)","女性Ｂ","女性Ｂ","Woman B"
"95(0)","アイドル","アイドル","Idol"
"96(0)","アイドル１","アイドル１","Idol 1"
"97(0)","アイドル２","アイドル２","Idol 2"
"98(0)","ギャラリー１","ギャラリー１","Gallery 1"
"99(0)","ギャラリー２","ギャラリー２","Gallery 2"
"100(0)","女性ファン１","女性ファン１","Female Fan 1"
"101(0)","女性ファン２","女性ファン２","Female Fan 2"
"102(0)","律子のファン","律子のファン","Ritsuko's Fan"
"103(0)","律子のファン１","律子のファン１","Ritsuko's Fan 1"
"104(0)","律子のファン２","律子のファン２","Ritsuko's Fan 2"
"105(0)","静香のファン","静香のファン","Shizuka's Fan"
"106(0)","翼のファン","翼のファン","Tsubasa's Fan"
"107(0)","ファン","ファン","Fan"
"108(0)","ファン一同","ファン一同","All the fans"
"109(0)","ファンの声援","ファンの声援","Fan Cheering"
"110(0)","お客さん","お客さん","Customer"
"111(0)","お客","お客","Customer"
"112(0)","観客","観客","Audience"
"113(0)","騒がしい客","騒がしい客","Noisy Customer"
"114(0)","リスナー","リスナー","Listener"
"115(0)","こども","こども","Child"
"116(0)","こどもたち","こどもたち","Children"
"117(0)","女の子","女の子","Girl"
"118(0)","男の子","男の子","Boy"
"119(0)","男性","男性","Man"
"120(0)","学生","学生","Student"
"121(0)","おばさん","おばさん","Old Woman"
"122(0)","老婆","老婆","Elderly Woman"
"123(0)","ナンパ男","ナンパ男","Playboy"
"124(0)","初老の紳士","初老の紳士","Elderly Gentleman"
"125(0)","お手紙","お手紙","Letter"
"126(0)","元気","元気","Genki"
"127(0)","ユウ","ユウ","Yu"
"128(0)","トレーナー","トレーナー","Trainer"
"129(0)","有名ディレクター","有名ディレクター","Famous Director"
"130(0)","ＴＶ局社長","ＴＶ局社長","TV Station Manager"
"131(0)","イベントスタッフ","イベントスタッフ","Event Staff"
"132(0)","通行人","通行人","Passerby"
"133(0)","かすみ","かすみ","Kasumi"
"134(0)","浩司","浩司","Koji"
"135(0)","ファン達","ファン達","Fans"
"136(0)","買い物客","買い物客","Shoppers"
"137(0)","ボイストレーナー","ボイストレーナー","Voice Trainer"
"138(0)","マスター","マスター","Master"
"139(0)","小鳥の声","小鳥の声","Kotori's Voice"
"140(0)","客席","客席","Audience Seating"
"141(0)","おっちゃん","おっちゃん","Old Man"
"142(0)","女","女","Girl"
"143(0)","男","男","Boy"
"144(0)","４人","４人","The 4"
"145(0)","未来の声","未来の声","Mirai's Voice"
"146(0)","雪歩たち","雪歩たち","Yukiho's Group"
"147(0)","千早たち","千早たち","Chihaya's Group"
"148(0)","伊織たち","伊織たち","Iori's Group"
"149(0)","響たち","響たち","Hibiki's Group"
"150(0)","心白たち","心白たち","Kohaku's Group"
"151(0)","春香たち","春香たち","Haruka's Group"
"152(0)","律子たち","律子たち","Ritsuko's Group"
"153(0)","真たち","真たち","Makoto's Group"
"154(0)","亜美たち","亜美たち","Ami's Group"
"155(0)","春香・心白・亜夜","春香・心白・亜夜","Haruka, Kohaku, & Aya"
"156(0)","心白・詩花","心白・詩花","Kohaku & Shika"
"157(0)","真・菜々・甘奈","真・菜々・甘奈","Makoto, Nana, & Amana"
"158(0)","真・響・未来","真・響・未来","Makoto, Hibiki, & Mirai"
"159(0)","真・詩花・心白","真・詩花・心白","Makoto, Shika, & Kohaku"
"160(0)","未来・甜花","未来・甜花","Mirai & Tenka"
"161(0)","杏・甜花","杏・甜花","Anzu & Tenka"
"162(0)","春香・真・響","春香・真・響","Haruka, Makoto, & Hibiki"
"163(0)","春香・美希","春香・美希","Haruka & Miki"
"164(0)","あずさ・菜々","あずさ・菜々","Azusa & Nana"
"165(0)","事務会一同","事務会一同","All Secretaries"
"166(0)","奥空眞弓の声","奥空眞弓の声","Mayumi Okuzora's Voice"
"167(0)","２人","２人","The 2"
"168(0)","甘奈・甜花","甘奈・甜花","Amana & Tenka"
"169(0)","杏＆きらり","杏・きらり","Anzu & Kirari"
"170(0)","心白＆亜夜","心白・亜夜","Kohaku & Aya"
"171(0)","若い女性","若い女性","Young Woman"
"172(0)","若い男性","若い男性","Young Man"
"173(0)","女子学生","女子学生","Female Student"
"174(0)","男子学生","男子学生","Male Student"
"175(0)","従業員","従業員","Employee"
"176(0)","子どもたち","子どもたち","Children"
"177(0)","美希・杏","美希・杏","Miki & Anzu"
"178(0)","美嘉・果穂","美嘉・果穂","Mika & Kaho"
"179(0)","５人","５人","All 5"
"180(0)","７人","７人","All 7"
"181(0)","８人","８人","All 8"
"182(0)","１０人","１０人","All 10"
"183(0)","亜美・真美・果穂","亜美・真美・果穂","Ami, Mami, & Kaho"
"184(0)","亜美・翼","亜美・翼","Ami & Tsubasa"
"185(0)","伊織・亜夜","伊織・亜夜","Iori & Aya"
"186(0)","伊織・雪歩・真","伊織・雪歩・真","Iori, Yukiho, & Makoto"
"187(0)","果穂・杏","果穂・杏","Kaho & Anzu"
"188(0)","果穂・菜々","果穂・菜々","Kaho & Nana"
"189(0)","響・真","響・真","Hibiki & Makoto"
"190(0)","春香・きらり・伊織","春香・きらり・伊織","Haruka, Kirari, & Iori"
"191(0)","春香・心白","春香・心白","Haruka & Kohaku"
"192(0)","春香・千早","春香・千早","Haruka & Chihaya"
"193(0)","春香・千早・美希","春香・千早・美希","Haruka, Chihaya, & Miki"
"194(0)","春香・美希・千早","春香・美希・千早","Haruka, Miki, & Chihaya"
"195(0)","心白・菜々・甘奈","心白・菜々・甘奈","Kohaku, Nana, & Amana"
"196(0)","心白・真","心白・真","Kohaku & Makoto"
"197(0)","心白・静香・蘭子","心白・静香・蘭子","Kohaku, Shizuka, & Ranko"
"198(0)","心白・美嘉・甜花","心白・美嘉・甜花","Kohaku, Mika, & Tenka"
"199(0)","真・杏・凛世","真・杏・凛世","Makoto, Anzu, & Rinze"
"200(0)","真・響・貴音","真・響・貴音","Makoto, Hibiki, & Takane"
"201(0)","真美・翼","真美・翼","Mami & Tsubasa"
"202(0)","静香・蘭子","静香・蘭子","Shizuka & Ranko"
"203(0)","雪歩・やよい・真","雪歩・やよい・真","Yukiho, Yayoi, & Makoto"
"204(0)","雪歩・伊織・貴音","雪歩・伊織・貴音","Yukiho, Iori, & Takane"
"205(0)","雪歩・蘭子","雪歩・蘭子","Yukiho & Ranko"
"206(0)","千早・心白","千早・心白","Chihaya & Kohaku"
"207(0)","美希・亜美・真美","美希・亜美・真美","Miki, Ami, & Mami"
"208(0)","未来・菜々・凛世","未来・菜々・凛世","Mirai, Nana, & Rinze"
"209(0)","未来・心白","未来・心白","Mirai & Kohaku"
"210(0)","律子・あずさ","律子・あずさ","Ritsuko & Azusa"
"211(0)","玲音・詩花・亜夜","玲音・詩花・亜夜","Leon, Shika, & Aya"
"212(0)","ラジオ司会","ラジオ司会","Radio Host"
"213(0)","子ども","子ども","Child"
"214(0)","真美・亜美","真美・亜美","Mami & Ami"
"215(0)","雪歩・甜花","雪歩・甜花","Yukiho & Tenka"
