"id","character","source","translatedstr"
"_DEL_Order_01_0001_00_001(0)","小鳥","続きまして、
今週のプロデューサータスクをお伝えします","Continued,
Here are this week's producer tasks"
"Order_01_0000_00_001(0)","小鳥","今週のプロデューサータスクをお伝えします","Here are this week's producer tasks"
"Order_01_0000_00_002(0)","小鳥","それでは、今週もよろしくお願いします","Well, I wish you all the best for the rest of the week."
"Order_01_0000_30_001(0)","小鳥","週も折り返しです。
プロデューサータスクには気を付けてくださいね","The week is turning around.
Be careful with producer tasks!"
"Order_01_0000_50_001(0)","小鳥","今日はプロデューサータスクの期限日です。
大丈夫ですか？","Today is the due date of the producer task.
Are you okay?"
"Order_01_0001_00_001(0)","小鳥","今月最後のプロデューサータスクをお伝えします","Here is the last producer task of the month!"
"Order_01_0001_00_002(0)","小鳥","もうすぐ月末です。目標ファン人数の
締切が近いので、気を付けてくださいね","It's almost the end of the month, and we have a target number of fans.
The deadline is near, so please be careful!"
"Order_01_0001_50_001(0)","小鳥","今日はファン人数の期限日です。
ご注意ください","Today is the deadline day for the number of fans.
Please note"
"Order_01_0002_00_001(0)","小鳥","今月最後のプロデューサータスクをお伝えします","Here is the last producer task of the month!"
"Order_01_0002_00_002(0)","小鳥","それでは、今週もよろしくお願いします","Well, I wish you all the best for the rest of the week."
"_DEL_Order_01_0002_00_001(0)","美咲","次は、今週のプロデューサータスクです！","Next up is this week's producer task!"
"Order_01_0010_00_001(0)","美咲","今週のプロデューサータスクです！","This week's producer task!"
"Order_01_0010_00_002(0)","美咲","今週も頑張っていきましょう！","Let's keep up the good work this week!"
"Order_01_0010_30_001(0)","美咲","週も、半分がすぎました。
プロデューサータスクは大丈夫ですか？","The week is now half over.
Is the producer task ok?"
"Order_01_0010_50_001(0)","美咲","今日はプロデューサータスクの期限日ですっ！
あの、大丈夫ですよね？","Today is the due date of the producer task!
Um, it's okay, right?"
"Order_01_0011_00_001(0)","美咲","今月最後のプロデューサータスクは、こちらです！","Here is the last producer task for this month!"
"Order_01_0011_00_002(0)","美咲","目標のファン人数の期日がいよいよ迫ってきました。
ドキドキします～。あの、気を付けてくださいね！","The deadline for the target number of fans is finally approaching.
I'm very nervous~ Um, please be careful!"
"Order_01_0011_50_001(0)","美咲","今日はファン人数の期限日です。
注意してくださいね","Today is the deadline day for the number of fans.
Caution."
"_DEL_Order_01_0003_00_001(0)","ちひろ","続いては、
今週のプロデューサータスクになります","Followed by,
This will be this week's producer task"
"Order_01_0020_00_001(0)","ちひろ","では、プロデューサータスクをお伝えいたします","Now, let me tell you about the producer task"
"Order_01_0020_00_002(0)","ちひろ","みんな期待していますよ。
頑張ってくださいね！","Everyone is looking forward to it.
Good luck!"
"Order_01_0020_30_001(0)","ちひろ","週も、半ばとなりました。
プロデューサータスクにはお気を付けください","It is now the middle of the week.
Please be careful with producer tasks!"
"Order_01_0020_50_001(0)","ちひろ","今日はプロデューサータスクの期限日です。
注意してくださいね","Today is the due date of the producer task.
Caution."
"Order_01_0021_00_001(0)","ちひろ","それでは、
今月最後のプロデューサータスクをお伝えいたします","See you then,
We are pleased to share with you the last producer task of the month!"
"Order_01_0021_00_002(0)","ちひろ","月末が近いので、目標ファン人数も意識して
プロデュースしていくことをお勧めします","The end of the month is near, so be aware of the number of target fans.
We recommend that you produce"
"Order_01_0021_50_001(0)","ちひろ","今日はファン人数の期限日です。
お忘れなく！","Today is the deadline day for the number of fans.
Don't forget!"
"_DEL_Order_01_0004_00_001(0)","はづき","次は、今週のプロデューサータスクですよ～","Next up is this week's producer task~!"
"Order_01_0030_00_001(0)","はづき","今週のプロデューサータスクはこちらです～","Here is this week's producer task~!"
