"id","character","source","translatedstr"
"Stage_Select_0000_00_001(0)","P","今日のステージは決まった……。
あとは、開演を待つだけだ","Today's stage has been decided. ......
Now all we have to do is wait for the show to start."
"Stage_Select_0004_03_001(0)","P","『スプリングナイト』のメンバーは決まった。
みんな、頑張れ！","The members of ""Spring Night"" have been decided.
Good luck, everyone!"
"Stage_Select_0005_00_001(0)","P","単独ライブのメンバーは決まった。
みんな、頑張れ！","The members of the solo show have been decided.
Good luck, everyone!"
"Stage_Select_0006_00_001(0)","P","初オーディションだ、しっかり学んでもらおう……。
あとは、開演を待つだけだ","It's their first audition, let them learn well. ......
Now all we have to do is wait for the show to start."
"Stage_Select_0006_01_001(0)","P","『ＨＥＬＬＯ☆アイドルフューチャー』の
メンバーは決まった。みんな、頑張れ！","The ""HELLO☆Idle Future""
The members are set, good luck everyone!"
"Stage_Select_0007_00_001(0)","P","初フェスだ、しっかり学んでもらおう……。
あとは、開演を待つだけだ","It's the first festival, let them learn it well. ......
Now all we have to do is wait for the show to start."
"Stage_Select_0007_01_001(0)","P","『サマードルフィン』のメンバーは決まった。
みんな、頑張れ！","The members of ""Summer Dolphin"" were decided.
Good luck, everyone!"
"Stage_Select_0008_00_001(0)","P","夏祭りのミニライブのメンバーは決まった。
みんな、頑張れ！","The members of the summer festival mini-live have been decided.
Good luck, everyone!"
"Stage_Select_0008_01_001(0)","P","新しいパフォーマンスに挑戦する
メンバーは決まった。みんな、頑張れ！","Tackling new performance challenges
The members are set, good luck everyone!"
"Stage_Select_0008_02_001(0)","P","初メドレーだ、しっかり学んでもらおう……。
あとは、開演を待つだけだ","It's the first medley, let them learn it well. ......
Now all we have to do is wait for the show to start."
"Stage_Select_0008_03_001(0)","P","『アイドルサマー』のメンバーは決まった。
みんな、頑張れ！","The members of ""Idol Summer"" were decided.
Good luck, everyone!"
"Stage_Select_0009_00_001(0)","P","地方イベントのメンバーは決まった。
みんな、頑張れ！","The members of the regional event were decided.
Good luck, everyone!"
"Stage_Select_0009_01_001(0)","P","単独ライブのメンバーは決まった。
みんな、頑張れ！","The members of the solo show have been decided.
Good luck, everyone!"
"Stage_Select_0010_00_001(0)","P","『ハロウィンオータム』のメンバーは決まった。
みんな、頑張れ！","The members of ""Halloween Autumn"" have been decided.
Good luck, everyone!"
"Stage_Select_0011_00_001(0)","P","『中間ライブ』のメンバーは決まった。
みんな、頑張れ！","The members of ""Interim Live"" were decided.
Good luck, everyone!"
"Stage_Select_0011_03_001(0)","P","『最終選考会』のメンバーは決まった。
みんな、頑張れ！","The members of the ""Final Round"" have been decided.
Good luck, everyone!"
"Stage_Select_0012_00_001(0)","P","『配信ライブ・ディアクリスマス』の
メンバーは決まった。みんな、頑張れ！","The ""Delivering Live Dear Christmas.
The members are set, good luck everyone!"
"Stage_Select_0012_01_001(0)","P","『クリスタルウィンター』のメンバーは決まった。
みんな、楽しんでこい！","The members of ""Crystal Winter"" were decided.
Go have fun, everyone!"
"Stage_Select_0012_50_001(0)","P","『ディアマントとのライブ対決』の
メンバーは決まった。みんな、頑張れ！","The ""Live Showdown with Diamant""
The members are set, good luck everyone!"
