"id","character","source","translatedstr"
"Stage_Challenge_0101_00_001(0)","Ｐ","（今日の挑戦は、春香、千早、美希の３人だ……）","(Today's challenge is Haruka, Chihaya, and Miki. ......)"
"Stage_Challenge_0101_00_002(0)","春香","うう、緊張してきた……。
千早ちゃんと美希は大丈夫？","Ugh, I'm getting nervous. ......
Are Chihaya and Miki okay?"
"Stage_Challenge_0101_00_003(0)","千早","ええ、問題ないわ","Yeah, no problem."
"Stage_Challenge_0101_00_004(0)","美希","ミキもへーきだよ。
春香はもっと肩の力を抜けばいいって思うな","Miki is also a heck of a lot better.
Don't think Haruka should relax her shoulders more."
"Stage_Challenge_0101_00_005(0)","Ｐ","……よし、そろそろ出番だな。
みんなよろしく頼むぞ","...... Okay, it's time to get going.
Take care of them all."
"Stage_Challenge_0101_00_006(0)","春香","は、はいっ！　頑張ります！","Yes, yes! I will do my best!"
"Stage_Challenge_0101_00_007(0)","千早","私たちの全力、存分に発揮してきます","We will show our best to the fullest!"
"Stage_Challenge_0101_00_008(0)","美希","プロデューサー！　
ミキたちの活躍、バッチリ見ててね♪","Producer!
Watch Miki and her friends in action!"
"Stage_Challenge_0101_00_009(0)","Ｐ","ああ！
それじゃあ、行ってこい！","Oh!
Well, go on then!"
"Stage_Challenge_0101_00_010(0)","春香","はいっ！","Yes!"
"Stage_Challenge_0101_00_011(0)","美希","はいなのっ！","Yes!"
"Stage_Challenge_0101_00_012(0)","千早","はいっ！","Yes!"
"Stage_Challenge_0101_10_001(0)","Ｐ","みんな、よくやったな！
とても良かったぞ！","Well done, everyone!
That was very good!"
"Stage_Challenge_0101_10_002(0)","春香","プロデューサーさん、ありがとうございます！
えへへ、うまくできました♪","Thank you, producer!
Ehehe, well done♪"
"Stage_Challenge_0101_10_003(0)","千早","はい。今の自分たちにできる、
最高のパフォーマンスが発揮できたかと","Yes, we can do it now,
I thought we performed at our best."
"Stage_Challenge_0101_10_004(0)","美希","ミキもすっごく楽しかったの！
ねぇ、プロデューサー。ミキ可愛かった？","Miki had a lot of fun too!
Hey, producer, was Miki cute?"
"Stage_Challenge_0101_10_005(0)","Ｐ","ああ！
美希もみんなもすごく輝いていたぞ！","Oh!
Miki and everyone else were shining so brightly!"
"Stage_Challenge_0101_10_006(0)","美希","あはっ☆
ありがと、プロデューサー♪","ahaha*
Thanks, producer."
"Stage_Challenge_0101_10_007(0)","Ｐ","それにしてもステージの途中の
パフォーマンス、本当にすごかったな","But still, in the middle of the stage.
Performance, that was really amazing."
"Stage_Challenge_0101_10_008(0)","美希","そうなの！
ミキたちのキラキラが、あふれ出たって感じ♪","Yes, it is!
It was like the sparkle of Miki and her friends overflowed."
"Stage_Challenge_0101_10_009(0)","春香","私、無我夢中で
あんまり覚えてないんですけど……","I, selflessly.
I don't remember much. ......"
"Stage_Challenge_0101_10_010(0)","春香","千早ちゃんと美希と、
ただ前に向かって、全力で頑張ろう！","With Chihaya and Miki,
Let's just move forward and do the best we can!"
"Stage_Challenge_0101_10_011(0)","春香","って、そんな思いがステージ上で
あふれ出たって感じがするんです","That's what I had in mind when I was on stage.
I feel like it's just overflowing."
"Stage_Challenge_0101_10_012(0)","春香","……って私、何言ってるんだろう。
プロデューサーさんも、よくわからないですよね？","What am I saying, ......?
You don't really know, do you, producer?"
"Stage_Challenge_0101_10_013(0)","Ｐ","いや、なんとなくだけどわかる気がするな。
確かに、そういう印象をステージからは感じたよ","No, I think I know what you mean, sort of.
I certainly got that impression from the stage."
"Stage_Challenge_0101_10_014(0)","千早","具現するほどの想い……。
私にもよくわかりませんけど","The more you realize the more you think about it. ......
I don't really understand it either."
"Stage_Challenge_0101_10_015(0)","千早","とにかく、ファンのみなさんが
喜んでくれたようで何よりです","Anyway, I'm sure all the fans
I'm glad you enjoyed it."
"Stage_Challenge_0101_10_016(0)","Ｐ","ああ、そうだな。……よし、そろそろ戻ろうか。
帰りに何か食べて帰ろう。今回は俺の奢りだぞ！","Yeah, I know. ...... Okay, we should get back to it.
Let's get something to eat on the way home; this time it's on me!"
"Stage_Challenge_0101_10_017(0)","美希","わーい、なの！
ミキ、おにぎりたくさん食べたいの♪","Wow!
Miki, I want to eat lots of rice balls."
"Stage_Challenge_0101_10_018(0)","千早","私は、ふたりの行きたいところで構わないわ","I'm fine with where we both want to go."
"Stage_Challenge_0101_10_019(0)","春香","それじゃ、
みんなで相談しながら帰りましょう！","Well then,
Let's discuss it together and go home!"
"Stage_Challenge_0102_00_001(0)","Ｐ","（再び、ライブに挑戦する日がやってきた。
挑むのはもちろん春香、千早、美希の３人だ！）","(Once again, the day came to challenge the live performance.
(The challenge, of course, will be taken up by Haruka, Chihaya, and Miki!)"
"Stage_Challenge_0102_00_002(0)","Ｐ","よし、いよいよみんなの番だ。準備は……って
言うまでもないか。３人ともいい顔をしている","Okay, now it's time for everyone to get ready to go to .......
Needless to say, all three look good."
"Stage_Challenge_0102_00_003(0)","春香","はい！　自分たちが今できること、
そのすべてを、ステージの上で見せてきます！","Yes! What we can do now,
All of this will be shown on stage!"
"Stage_Challenge_0102_00_004(0)","千早","春香と美希、他の仲間たちと一緒に研鑽した日々、
その成果を出しきってみせます","Haruka, Miki, and the rest of my friends and I spent our days studying together,
I will make the best of it."
"Stage_Challenge_0102_00_005(0)","美希","ミキも珍しく本気だよ。だから、プロデューサー。
目を離さないで、しっかり見ててね","Miki is unusually serious about this, so I'm going to go ahead and ask you, producer.
Keep an eye on them and watch them closely."
"Stage_Challenge_0102_00_006(0)","Ｐ","……ああ、わかった。
みんな、よろしく頼む","...... Oh, okay.
Take care of them, everyone."
"Stage_Challenge_0102_00_007(0)","Ｐ","みんながあの日に感じた、
ステージ上の輝きをもう一度俺に見せてほしい！","Everyone felt it that day,
I want you to show me once again your brilliance on stage!"
"Stage_Challenge_0102_00_008(0)","美希","うんっ！　ミキたちにお任せなの！","I'll leave it to Miki and the others!"
"Stage_Challenge_0102_00_009(0)","Ｐ","よし、それじゃあ、行ってこい！","All right, then, go ahead!"
"Stage_Challenge_0102_00_010(0)","春香","行ってきますっ！","I'm off!"
"Stage_Challenge_0102_00_011(0)","千早","行ってきますっ！","I'm off!"
"Stage_Challenge_0102_00_012(0)","美希","行ってきますっ！","I'm off!"
"Stage_Challenge_0102_10_001(0)","Ｐ","（会場が震えている……それだけ、春香たちの
パフォーマンスが圧巻だったということか……）","(The audience is trembling ...... that's how much Haruka and her friends
(You mean the performance was outstanding. ......)"
"Stage_Challenge_0102_10_002(0)","Ｐ","みんな、お疲れ様。
ライブ、最高に盛り上がったな！","Thanks for all your hard work, everyone.
Live, it was a great time!"
"Stage_Challenge_0102_10_003(0)","春香","はぁ……はぁ……ぷ、プロデューサーさん、
私たち……うまく、できてましたか？","Hah ...... hah ...... p, producer,
Did we ...... do it well?"
