"id","character","source","translatedstr"
"Unity_02_0101_00_001(0)","Ｐ","（今日は春香の提案で、
映画を見に行くことになった……）","(Haruka's suggestion today,
(We're going to the movies: ......)"
"Unity_02_0101_00_002(0)","春香","わぁ、色々な映画があって、迷っちゃうな～。
みんなは見たい映画ってあるかな？","Wow, so many different movies, I'm lost!
Do you guys have any movies you want to see?"
"Unity_02_0101_00_003(0)","心白","春香さん、あのドキュメンタリー映画にしませんか？
今、ＳＮＳですごく流行ってるんですよ","Haruka, why don't we make that documentary film?
It's very popular on social media right now."
"Unity_02_0101_00_004(0)","未来","あ！　あのアクション映画、
すっごく面白そうですよ！　あれにしませんか？","Ah! That action movie,
It looks really interesting!"
"Unity_02_0101_00_005(0)","歌織","このミュージカル映画、話題になっているのよね。
ねぇ、春香ちゃん、よかったらこれにしない？","There's a lot of talk about this musical film.
Hey, Haruka-chan, if you want, we can do this."
"Unity_02_0101_00_006(0)","杏","杏は別に何でもいーよ。……ん？
あのゲーム、映画化したんだー。へぇ～","Anzu are fine with anything. ...... hmm?
I didn't know that game was made into a movie."
"Unity_02_0101_00_007(0)","咲耶","フフ……私はどの映画でも。
今日はみんなが見たいものを一緒に楽しみたいよ","Huff ...... me in any movie.
I hope we can all enjoy what we want to see today together."
"Unity_02_0101_00_008(0)","Ｐ","（映画を見終えたみんなは、口々に感想を言い合って
いる。どうやら楽しい時間を過ごせたようだ！）","(After watching the movie, everyone was talking to each other about their impressions.
(I'm here; apparently we had a good time!)"
"Unity_03_0101_00_001(0)","Ｐ","（今日は春香の提案で、
映画を見に行くことになった……）","(Haruka's suggestion today,
(We're going to the movies: ......)"
"Unity_03_0101_00_002(0)","春香","わぁ、色々な映画があって、迷っちゃうな～。
みんなは見たい映画ってあるかな？","Wow, so many different movies, I'm lost!
Do you guys have any movies you want to see?"
"Unity_03_0101_00_003(0)","未来","春香さん！　あのアクション映画、
すっごく面白そうですよ！","Haruka! That action movie,
It looks very interesting!"
"Unity_03_0101_00_004(0)","春香","ええと、『ビッグバンスペースドライブ』？
なんだか、すごそうなタイトルだね……","Uh, ""Big Bang Space Drive""?
That sounds like an awesome title: ......"
"Unity_03_0101_00_005(0)","杏","それ、人気のゲームが映画化したやつだよ。
へぇ～、公開されてたんだ","That's a popular game that's been made into a movie.
Wow, it was published."
"Unity_03_0101_00_006(0)","杏","えっと……ゲームの再現度が半端ないって感じで、
好評みたいだね。特に爆発のシーンがすごいって","Let's see, it's like ...... game reproduction is halfway done,
I heard it was well received, especially the explosion scene."
"Unity_03_0101_00_007(0)","未来","爆発シーン？　それ、ＣＭで見たことあるかも！
かっこいい車で宇宙を駆け巡るやつですよね？","Explosion scene? I might have seen that in a commercial!
You know, the one where you drive around the universe in a cool car?"
"Unity_03_0101_00_008(0)","杏","そうそう。もともとは普通のレースゲームだったん
だけど、気が付いたら宇宙進出してたんだよね","Yes, yes, it was originally a regular racing game.
But then I realized we were expanding into space."
"Unity_03_0101_00_009(0)","未来","さすが杏さん、詳しいです！　あの……
私、この映画、すっごく見たいです！","You're right, Anzu, you know a lot about it! That ......
I want to see this movie so badly!"
"Unity_03_0101_00_010(0)","春香","うん、いいよ♪
杏ちゃんはどうかな？","Yeah, okay. ♪
What about Anzu?"
"Unity_03_0101_00_011(0)","杏","杏も興味あるし、さんせーい","Anzu is interested, too, and sansei!"
"Unity_03_0101_00_012(0)","未来","春香さん、杏さん、ありがとうございます！
それじゃ、さっそく見に行きましょう♪","Thank you, Haruka and Anzu!
Well then, let's get on with it... ♪"
"Unity_03_0101_00_013(0)","春香","み、未来ちゃん、そんなに急いだら転んじゃうよ！","Mirai, you'll fall down if you hurry so much!"
"Unity_03_0101_00_014(0)","Ｐ","（その後、アクション映画を堪能した３人は、カフェ
で映画の感想を言い合い、大いに盛り上がった）","(Afterwards, after enjoying the action movie, the three of them went to a café
(They had a lot of fun discussing their impressions of the film at the)"
"Unity_02_0102_00_001(0)","Ｐ","（今日は美希の提案で、
おにぎりを作ることになった……）","(Miki's suggestion today,
(I'm supposed to make onigiri (rice balls) ......)"
"Unity_02_0102_00_002(0)","美希","ねぇねぇ、どんなおにぎりを作ろっか？","Hey, hey, what kind of rice balls shall we make?"
"Unity_02_0102_00_003(0)","やよい","私は、みんなで食べれるように、小さいおにぎりを
たくさん作りたいです！　","I have a small onigiri for everyone to eat.
I want to make a lot of them!"
"Unity_02_0102_00_004(0)","翼","私は、カラフルなおにぎりを作りたいな。
美希先輩、どうですか～？","I would love to make some colorful rice balls.
How about you, Miki-senpai~?"
"Unity_02_0102_00_005(0)","紬","そうですね……私は、
鮭とか昆布などが良いかと……","Yes, ...... I am,
I was thinking salmon, kelp, etc. ......"
"Unity_02_0102_00_006(0)","蘭子","我が求めるは、純白に抱かれし禁断の果実！
ククク……まさに神と悪魔の出会いね","I seek the forbidden fruit embraced in pure white!
Kukuku...... is truly the meeting of God and the Devil."
"Unity_02_0102_00_007(0)","（蘭子ログ）","（ハンバーグが入ったおにぎりが食べたいです！
絶対美味しいと思いまーす♪）","(I want to eat a rice ball with a hamburger steak in it!
I'm sure it will be delicious!)"
"Unity_02_0102_00_008(0)","甘奈","色んなおにぎりができそうだね☆
えへへ、食べるの楽しみ～","I'm sure you can make all kinds of onigiri.
I'm looking forward to eating it!"
"Unity_02_0102_00_009(0)","Ｐ","（みんな、楽しくオフを過ごしたようだな。
これでさらに団結力が養われたはずだ！）","(Looks like everyone had a good time off.
(This should have fostered even more unity!)"
"Unity_03_0102_00_001(0)","Ｐ","（今日は美希の提案で、
おにぎりを作ることになった……）","(Miki's suggestion today,
(I'm supposed to make onigiri (rice balls) ......)"
"Unity_03_0102_00_002(0)","美希","ねぇねぇ、どんなおにぎりを作ろっか？","Hey, hey, what kind of rice balls shall we make?"
"Unity_03_0102_00_003(0)","翼","はーい！
わたし、カラフルなおにぎりが作りたいでーす！","Hai!
I want to make colorful rice balls!"
"Unity_03_0102_00_004(0)","やよい","カラフル？　……あ、いろんな味の
おにぎりを作れば、カラフルになるかも！","Colorful? ...... Oh, all kinds of flavors.
If you make rice balls, they could be colorful!"
"Unity_03_0102_00_005(0)","美希","ミキ的には、美味しくて、たくさん食べられるなら、
大歓迎ってカンジかな☆","Miki's way, if it's tasty and you can eat a lot of it,
I guess you're more than welcome."
"Unity_03_0102_00_006(0)","やよい","はい！　それじゃあ、
みんなでどんな味がいいか考えましょー！","Okay, then,
Let's think about what kind of flavor we all want!"
"Unity_03_0102_00_007(0)","美希","定番どころは外せないよね？
ツナに梅干しに、昆布、鮭、明太子も必要なの！","You can't miss the classic ones, can you?
I need tuna, pickled plums, kelp, salmon, and cod roe!"
"Unity_03_0102_00_008(0)","やよい","あ、天かすをいれたおにぎりって、知ってますか？
安くって、とってもおいしいんですよ～","Oh, you know those rice balls with tenkasu in them?
It's cheap and very tasty!"
"Unity_03_0102_00_009(0)","翼","わたしは、もっと面白いおにぎりも欲しいな～。
お肉入りとか、すっごく辛いやつなんか、楽しそう！","I want more interesting rice balls, too!
Something with meat or very spicy would be fun!"
"Unity_03_0102_00_010(0)","やよい","はわっ、お肉が入ってるなんて、贅沢です！
辛いのは、苦手な人には大変かもです……","Hah, what a luxury to have meat in it!
Spicy can be hard for those who don't like it. ......"
"Unity_03_0102_00_011(0)","やよい","そうだ、具に合わせて形を変えませんか？
中身を間違えなくっていいかなーって！","Yes, why not change the shape to match the ingredients?
I thought it would be nice not to make a mistake on what's inside!"
"Unity_03_0102_00_012(0)","翼","それいいかも。
やよいちゃん、ナイスアイディアだね！","That might be good.
Yayoi, nice idea!"
"Unity_03_0102_00_013(0)","翼","……あ！　わたし、全部の具を入れた、
特大おにぎりを作ろっかな～♪","I put all the ingredients in,
Let's make extra large onigiri!"
"Unity_03_0102_00_014(0)","美希","ミキもすっごいおにぎりを作るの！
翼、勝負しよっ！","Miki also makes amazing rice balls!
Wings, let's play!"
"Unity_03_0102_00_015(0)","翼","わかりました！
美希先輩、負けませんよ～！","I understand!
Miki-senpai, I won't lose!"
"Unity_03_0102_00_016(0)","Ｐ","（その後、３人はたくさんのおにぎりを作った。
みんなにも好評で、すごく喜んでもらえたようだ）","(The three then made many rice balls.
(Everyone seemed to like it and be very pleased with it.)"
"Unity_02_0103_00_001(0)","Ｐ","（今日は千早の提案で、
ＣＤショップに行くことになった……）","(Chihaya's suggestion today,
(I'm going to the CD store: ......)"
