key,source,target,Translation Notes,Outstanding issues
ST_Commu_MD/STORY_CONTENT_TITLE_001,第１話,Episode 1,,
ST_Commu_MD/STORY_CONTENT_TITLE_002,第２話,Episode 2,,
ST_Commu_MD/STORY_CONTENT_TITLE_003,第３話,Episode 3,,
ST_Commu_MD/STORY_CONTENT_TITLE_004,第４話,Episode 4,,
ST_Commu_MD/STORY_CONTENT_TITLE_005,最終話,Final Episode,,
ST_Commu_MD/STORY_CONTENT_TITLE_006,第１話,Episode 1,,
ST_Commu_MD/STORY_CONTENT_TITLE_007,第２話,Episode 2,,
ST_Commu_MD/STORY_CONTENT_TITLE_008,第３話,Episode 3,,
ST_Commu_MD/STORY_CONTENT_TITLE_009,第４話,Episode 4,,
ST_Commu_MD/STORY_CONTENT_TITLE_010,第５話,Episode 5,,
ST_Commu_MD/STORY_CONTENT_TITLE_011,第６話,Episode 6,,
ST_Commu_MD/STORY_CONTENT_TITLE_012,第７話,Episode 7,,
ST_Commu_MD/STORY_CONTENT_TITLE_013,第８話,Episode 8,,
ST_Commu_MD/STORY_CONTENT_TITLE_014,第９話,Episode 9,,
ST_Commu_MD/STORY_CONTENT_TITLE_015,最終話,Final Episode,,
ST_Commu_MD/STORY_CONTENT_TITLE_016,第１話,Episode 1,,
ST_Commu_MD/STORY_CONTENT_TITLE_017,第２話,Episode 2,,
ST_Commu_MD/STORY_CONTENT_TITLE_018,第３話,Episode 3,,
ST_Commu_MD/STORY_CONTENT_TITLE_019,第４話,Episode 4,,
ST_Commu_MD/STORY_CONTENT_TITLE_020,第５話,Episode 5,,
ST_Commu_MD/STORY_CONTENT_TITLE_021,第６話,Episode 6,,
ST_Commu_MD/STORY_CONTENT_TITLE_022,第７話,Episode 7,,
ST_Commu_MD/STORY_CONTENT_TITLE_023,第８話,Episode 8,,
ST_Commu_MD/STORY_CONTENT_TITLE_024,第９話,Episode 9,,
ST_Commu_MD/STORY_CONTENT_TITLE_025,最終話,Final Episode,,
ST_Commu_MD/STORY_CONTENT_TITLE_026,第１話,Episode 1,,
ST_Commu_MD/STORY_CONTENT_TITLE_027,第２話,Episode 2,,
ST_Commu_MD/STORY_CONTENT_TITLE_028,第３話,Episode 3,,
ST_Commu_MD/STORY_CONTENT_TITLE_029,第４話,Episode 4,,
ST_Commu_MD/STORY_CONTENT_TITLE_030,第５話,Episode 5,,
ST_Commu_MD/STORY_CONTENT_TITLE_031,第６話,Episode 6,,
ST_Commu_MD/STORY_CONTENT_TITLE_032,第７話,Episode 7,,
ST_Commu_MD/STORY_CONTENT_TITLE_033,第８話,Episode 8,,
ST_Commu_MD/STORY_CONTENT_TITLE_034,第９話,Episode 9,,
ST_Commu_MD/STORY_CONTENT_TITLE_035,最終話,Final Episode,,
ST_Commu_MD/STORY_CONTENT_TITLE_036,第１話,Episode 1,,
ST_Commu_MD/STORY_CONTENT_TITLE_037,第２話,Episode 2,,
ST_Commu_MD/STORY_CONTENT_TITLE_038,第３話,Episode 3,,
ST_Commu_MD/STORY_CONTENT_TITLE_039,第４話,Episode 4,,
ST_Commu_MD/STORY_CONTENT_TITLE_040,第５話,Episode 5,,
ST_Commu_MD/STORY_CONTENT_TITLE_041,第６話,Episode 6,,
ST_Commu_MD/STORY_CONTENT_TITLE_042,第７話,Episode 7,,
ST_Commu_MD/STORY_CONTENT_TITLE_043,第８話,Episode 8,,
ST_Commu_MD/STORY_CONTENT_TITLE_044,第９話,Episode 9,,
ST_Commu_MD/STORY_CONTENT_TITLE_045,最終話,Final Episode,,
ST_Commu_MD/STORY_CONTENT_TITLE_046,第１話,Episode 1,,
ST_Commu_MD/STORY_CONTENT_TITLE_047,第２話,Episode 2,,
ST_Commu_MD/STORY_CONTENT_TITLE_048,第３話,Episode 3,,
ST_Commu_MD/STORY_CONTENT_TITLE_049,第４話,Episode 4,,
ST_Commu_MD/STORY_CONTENT_TITLE_050,第５話,Episode 5,,
ST_Commu_MD/STORY_CONTENT_TITLE_051,第６話,Episode 6,,
ST_Commu_MD/STORY_CONTENT_TITLE_052,第７話,Episode 7,,
ST_Commu_MD/STORY_CONTENT_TITLE_053,第８話,Episode 8,,
ST_Commu_MD/STORY_CONTENT_TITLE_054,第９話,Episode 9,,
ST_Commu_MD/STORY_CONTENT_TITLE_055,最終話,Final Episode,,
ST_Commu_MD/Title_Idolchr_0101_A_01_00,あの頃から成長した姿,How I've Grown Since Then,,
ST_Commu_MD/Title_Idolchr_0101_A_02_00,先輩としてのアドバイス,Advice as a Senior,,
ST_Commu_MD/Title_Idolchr_0101_A_10_01,ふたりで進む,Moving Forward Together,,
ST_Commu_MD/Title_Idolchr_0101_Z_01_00,ご褒美をちょっとだけ,A Little Reward,,
ST_Commu_MD/Title_Idolchr_0102_A_01_00,ポテンシャルで導いて,Leading to Potential,"The ""de"" particle seems to indicate where an action is supposed to be,
and ""michibiite"" is leading to something, so I changed it from ""Lead with potential""
to ""Leading to Potential"" -KK",
ST_Commu_MD/Title_Idolchr_0102_A_02_00,おにぎりクッションチャレンジ！,Rice Ball Cushion Challenge!,,
ST_Commu_MD/Title_Idolchr_0102_A_03_00,レッツ☆事務所探検,Let's ☆ Explore The Office!,,
ST_Commu_MD/Title_Idolchr_0102_A_04_00,迷子の子猫,Lost Kitten,"Could alternatively be named ""Stray Kitten"", depending on context. -KK
Lost makes sense based on what I was able to make out of this Hibiki commu.
The kitten was separated from it's mother. -F91",
ST_Commu_MD/Title_Idolchr_0102_C_30_01,ふれあい　出かけるなら？,Get to know each other,,
ST_Commu_MD/Title_Idolchr_0102_Z_01_00,宝物,Treasures,,
ST_Commu_MD/Title_Idolchr_0103_A_11_01,仲間が教えてくれたこと,What My Friends Taught Me,,
ST_Commu_MD/Title_Idolchr_0103_Z_01_00,同窓会をしよう！,Let's have a reunion!,,
ST_Commu_MD/Title_Idolchr_0104_A_10_01,もやしが届ける笑顔,Smiles Brought by Bean Sprouts,,
ST_Commu_MD/Title_Idolchr_0104_Z_01_00,笑顔のために,For a Smile,,
ST_Commu_MD/Title_Idolchr_0105_A_10_01,未来を託して,Entrusting the Future to Us,,
ST_Commu_MD/Title_Idolchr_0106_Z_01_00,ずっと手を繋いで,Hand in hand Forever,,
ST_Commu_MD/Title_Idolchr_0107_A_10_02,インフルエンサー！！,Influencer!!,Added another exclamation mark to match the original -KK,
ST_Commu_MD/Title_Idolchr_0107_Z_01_00,ちょっとだけ、ひとり占め,"Just a Little, All to Myself",This seems fine at first glance. -KK,
ST_Commu_MD/Title_Idolchr_0108_Z_01_00,一緒に月を眺めながら,As We Gaze at the Moon Together,,
ST_Commu_MD/Title_Idolchr_0109_Z_01_00,これからも一緒に,From Now On Together,"The translation ""We'll always be together"", didn't seem to line up with what was being
said in kanji and kana dictionaries. -KK",
ST_Commu_MD/Title_Idolchr_0110_Z_01_00,世界のステージへ,To the World Stage,,
ST_Commu_MD/Title_Idolchr_0111_A_10_02,等身大のミリキ,Life-Sized Miriki,This seems fine to me after some proof reading and quick fixing -KK,
ST_Commu_MD/Title_Idolchr_0111_Z_01_00,変わらないミリキ,Unpeculiar Miriki,,
