key,source,target,Translation Notes,Outstanding issues
ST_In_MD/TEXT_01_0001,今日もノッてくぜー！！,,,
ST_In_MD/TEXT_01_0002,ええー、もう終わりー？,"Ehh, it's already over?",,
ST_In_MD/TEXT_01_0011,全然ユレがたんないよ！！,,,
ST_In_MD/TEXT_01_0012,もっとノッてこー！,,,
ST_In_MD/TEXT_01_0021,ノッてきた！,,,
ST_In_MD/TEXT_01_0022,チケットとれて良かったー！,I'm glad I got tickets!,,
ST_In_MD/TEXT_01_0031,テンション上がってきたー！,The tension is rising!,,
ST_In_MD/TEXT_01_0032,ユレてきた！！,,,
ST_In_MD/TEXT_01_0041,やっぱ、歌は生できかないとね！,,,
ST_In_MD/TEXT_01_0042,この歌声を待ってたんだ！,I've been waiting for this singing!,,
ST_In_MD/TEXT_01_0051,キャー！今のステップステキー！！,Kyaa! That move just now was wonderful!!,,
ST_In_MD/TEXT_01_0052,踊りがカッコイイよね！！,That dance was so cool!!,,
ST_In_MD/TEXT_01_0061,あ、今こっち見て笑ったよね！！,"Ah, I just noticed this and laughed!!",,
ST_In_MD/TEXT_01_0062,あの笑顔に、いやされるんだよなあ！,That smile has healed me!,,
ST_In_MD/TEXT_01_1001,合格できるのは上位{CLEAR_RANK}組までですよ,,,
ST_In_MD/TEXT_01_1002,ふー……。お疲れ様です,,,
ST_In_MD/TEXT_01_1051,私の指示通りの順番でアピールしてください,Please appeal in the order of my instructions.,,
ST_In_MD/TEXT_01_1052,そうです！素晴らしいですね,Yes! This is wonderful.,,
ST_In_MD/TEXT_01_1053,…ちょっと難しかったでしょうか？,...was that too difficult?,,
ST_In_MD/TEXT_01_1061,元気がいいアイドル、ポイント高いですよ！,Extra points for the energetic idol!,,
ST_In_MD/TEXT_01_1062,あなたの歌声、魅力的です！,Your singing is fascinating!,,
ST_In_MD/TEXT_01_1063,あなたのダンス、目が離せません！,,,
ST_In_MD/TEXT_01_1064,あなたの笑顔、素敵ですね！,,,
ST_In_MD/TEXT_01_1065,センターの子に注目ね！,Focus on the girl at the center!,,
ST_In_MD/TEXT_01_1066,あなたアピールが少ないわ、見せてくれる,"You haven't made many appeals, show me what you've got.",,
ST_In_MD/TEXT_01_1067,私のジンクス２番の位置の子に注目よ！,,,
ST_In_MD/TEXT_01_1068,私のジンクス３番の位置の子に注目よ！,,,
ST_In_MD/TEXT_01_1069,私のジンクス４番の位置の子に注目よ！,,,
ST_In_MD/TEXT_01_1070,私のジンクス５番の位置の子に注目よ！,,,
ST_In_MD/TEXT_01_1101,俺の番組に出演できるのは上位{CLEAR_RANK}組まで！,,,
ST_In_MD/TEXT_01_1102,そこまで！みんな、お疲れ！,"That's a wrap! Good work, everyone!",,
ST_In_MD/TEXT_01_1151,指示した順番通りにアピールしてみろ！,,,
ST_In_MD/TEXT_01_1152,やるじゃないか！そうこなくっちゃな！,,,
ST_In_MD/TEXT_01_1153,おいおい…がっかりさせないでくれよ,,,
ST_In_MD/TEXT_01_1161,元気が１番！キミに注目だ！,,,
ST_In_MD/TEXT_01_1162,そこのキミ、いい声出てるじゃないか！,,,
ST_In_MD/TEXT_01_1163,そこのキミ、キレのいい動きしてるな！,,,
ST_In_MD/TEXT_01_1164,そこのキミ、輝いてるな！,,,
