key,source,target,Translation Notes,Outstanding issues
ST_In_UI/TEXT_IN_UI_001,クリア条件1,Objective 1,overflow found in the game pause menu. rewording it for now -F91,
ST_In_UI/TEXT_IN_UI_002,クリア条件,Objective,overflow found in the game pause menu. rewording it for now -F91,
ST_In_UI/TEXT_IN_UI_003,クリア条件2,Objective 2,overflow found in the game pause menu. rewording it for now -F91,
ST_In_UI/TEXT_IN_UI_004,ハコユレ,COMMOTION,"hako can mean public building and yure can mean vibrations or tremors. So combining these two words, hakoyure would
be the shaking caused by audience cheering. Using words that are synonymous with shaking/quaking doesn't read well
to me when using them in other areas such as tutorial explanations and objectives, so using words that are synonymous
to cheering/noise is more ideal.-F91",
ST_In_UI/TEXT_IN_UI_005,DIRECTOR,DIRECTOR,,
ST_In_UI/TEXT_IN_UI_006,RANKING,RANKING,,
ST_In_UI/TEXT_IN_UI_007,PAUSE,PAUSE,,
ST_In_UI/TEXT_IN_UI_008,SCORE,SCORE,,
ST_In_UI/TEXT_IN_UI_009,STAR,STAR,,
ST_In_UI/TEXT_IN_UI_010,SYNCHRO,SYNCHRO,,
ST_In_UI/TEXT_IN_UI_011,UNISON,UNISON,,
ST_In_UI/TEXT_IN_UI_GUIDE_CAMERA_001,NORMAL MODE,NORMAL MODE,,
ST_In_UI/TEXT_IN_UI_GUIDE_CAMERA_002,CAM 1,CAM 1,,
ST_In_UI/TEXT_IN_UI_GUIDE_CAMERA_003,CAM 2,CAM 2,,
ST_In_UI/TEXT_IN_UI_GUIDE_CAMERA_004,CAM 3,CAM 3,,
ST_In_UI/TEXT_IN_UI_GUIDE_CAMERA_005,CAM 4,CAM 4,,
ST_In_UI/TEXT_IN_UI_GUIDE_CAMERA_006,FOLLOW MODE,FOLLOW MODE,,
ST_In_UI/TEXT_IN_UI_GUIDE_CAMERA_007,UP CAM,UP CAM,,
ST_In_UI/TEXT_IN_UI_GUIDE_CAMERA_008,MID CAM,MID CAM,,
ST_In_UI/TEXT_IN_UI_GUIDE_CAMERA_009,AUTO CAM,AUTO CAM,,
ST_In_UI/TEXT_IN_UI_GUIDE_CAMERA_010,LONG CAM,LONG CAM,,
ST_In_UI/TEXT_IN_UI_GUIDE_CAMERA_ANGLE_001,予約,Confirm,,
ST_In_UI/TEXT_IN_UI_GUIDE_CAMERA_ANGLE_002,予約解除,Cancel,,
ST_In_UI/TEXT_IN_UI_GUIDE_CAMERA_ANGLE_003,NEXT,NEXT,,
