key,source,target,Translation Notes,Outstanding issues
ST_Out_MD/ALBUM_MAIN_TITLE_001,新しい季節,A New Season,using text provided in game,
ST_Out_MD/ALBUM_MAIN_TITLE_002,春のうららの始まりの,The Start of Springtime,using text provided in game,
ST_Out_MD/ALBUM_MAIN_TITLE_003,ごーいんぐまいうぇー,Going My Way,,
ST_Out_MD/ALBUM_MAIN_TITLE_004,激闘、超密着生取材！,Up Close and Personal!,using text provided in game,
ST_Out_MD/ALBUM_MAIN_TITLE_005,絡まる想い,Tangled Thoughts,using text provided in game,
ST_Out_MD/ALBUM_MAIN_TITLE_006,真夏の翳,Midsummer Shadow,using text provided in game,
ST_Out_MD/ALBUM_MAIN_TITLE_007,みんなといっしょにみる夢は,Our Shared Dream,using text provided in game,
ST_Out_MD/ALBUM_MAIN_TITLE_008,白と黒の譚詩曲,A Ballad in Black and White,using text provided in game,
ST_Out_MD/ALBUM_MAIN_TITLE_009,最終選考会,Final Audition,using text provided in game,
ST_Out_MD/ALBUM_MAIN_TITLE_010,輝跡,Luminous,using text provided in game,
ST_Out_MD/ALBUM_MAIN_TITLE_011,エピローグ,Epilogue,using text provided in game,
ST_Out_MD/ANNOUNCE_DETAIL_001,"CATALOG Vol.01配信開始！
LUMINOUS SHOPで、魅力的なセットやアイテムを多数配信！！
※体験版では、カタログ内の一部商品は購入できません","Catalog Vol.01 is now available!
The Luminous Shop will offer a lot of attractive sets and items!!
※Some products in the catalog cannot be purchased in the demo version.",,
ST_Out_MD/ANNOUNCE_DETAIL_002,"CATALOG Vol.02配信開始！
LUMINOUS SHOPで、魅力的なセットやアイテムを多数配信！！
※体験版では、カタログ内の一部商品は購入できません","Catalog Vol.02 is now available!
The Luminous Shop will offer a lot of attractive sets and items!!
※Some products in the catalog cannot be purchased in the demo version.",,
